Colonna1	Colonna2
Spirulinaceae	family
Spirulina <Cyanobacteria>	genus
Spirulina major	species
Spirulina major PCC 6313	no rank
Spirulina subsalsa	species
Spirulina subsalsa PCC 9445	no rank
Synechococcales	order
Acaryochloridaceae	family
Acaryochloris	genus
Acaryochloris marina	species
Acaryochloris marina MBIC11017	no rank
Chamaesiphonaceae	family
Chamaesiphon	genus
Chamaesiphon minutus	species
Chamaesiphon minutus PCC 6605	no rank
Leptolyngbyaceae	family
Leptolyngbya	genus
Leptolyngbya boryana	species
Leptolyngbya boryana NIES-2135	no rank
Leptolyngbya boryana PCC 6306	no rank
Leptolyngbya sp. 'hensonii'	species
Leptolyngbya sp. KIOST-1	species
Leptolyngbya sp. NIES-2104	species
Leptolyngbya sp. NIES-3755	species
Leptolyngbya sp. O-77	species
Leptolyngbya sp. PCC 6406	species
Leptolyngbya sp. PCC 7375	species
Leptolyngbya sp. PCC 7376	species
Leptolyngbya sp. PCC 7410	species
Neosynechococcus	genus
Neosynechococcus sphagnicola	species
Neosynechococcus sphagnicola sy1	no rank
Phormidesmis	genus
Phormidesmis priestleyi	species
Phormidesmis priestleyi BC1401	no rank
Phormidesmis priestleyi ULC007	no rank
Merismopediaceae	family
Synechocystis	genus
Synechocystis sp. PCC 6714	species
Synechocystis sp. PCC 6803	species
Synechocystis sp. PCC 6803 substr. GT-I	no rank
Synechocystis sp. PCC 6803 substr. PCC-N	no rank
Synechocystis sp. PCC 6803 substr. PCC-P	no rank
Synechocystis sp. PCC 7509	species
Prochloraceae	family
Prochlorococcus	genus
Prochlorococcus marinus	species
Prochlorococcus marinus str. AS9601	no rank
Prochlorococcus marinus str. MIT 9211	no rank
Prochlorococcus marinus str. MIT 9215	no rank
Prochlorococcus marinus str. MIT 9301	no rank
Prochlorococcus marinus str. MIT 9303	no rank
Prochlorococcus marinus str. MIT 9312	no rank
Prochlorococcus marinus str. MIT 9313	no rank
Prochlorococcus marinus str. MIT 9515	no rank
Prochlorococcus marinus str. NATL1A	no rank
Prochlorococcus marinus str. NATL2A	no rank
Prochlorococcus marinus subsp. marinus	subspecies
Prochlorococcus marinus subsp. marinus str. CCMP1375	no rank
Prochlorococcus marinus subsp. pastoris	subspecies
Prochlorococcus marinus subsp. pastoris str. CCMP1986	no rank
Prochlorococcus sp. MIT 0604	species
Prochlorococcus sp. MIT 0801	species
Prochlorococcus sp. RS01	species
Prochlorococcus sp. RS04	species
Prochlorococcus sp. RS50	species
Prochlorococcus sp. W11	species
Prochlorococcus sp. W9	species
Prochlorococcus sp. scB245a_518D8	species
Prochloron	genus
Prochloron didemni	species
Prochloron didemni P1-Palau	no rank
Prochlorotrichaceae	family
Halomicronema	genus
Halomicronema hongdechloris	species
Halomicronema hongdechloris C2206	no rank
Nodosilinea	genus
Nodosilinea nodulosa	species
Nodosilinea nodulosa PCC 7104	no rank
Prochlorothrix	genus
Prochlorothrix hollandica	species
Prochlorothrix hollandica PCC 9006 = CALU 1027	no rank
Pseudanabaenaceae	family
Limnothrix	genus
Limnothrix rosea	species
Limnothrix rosea IAM M-220	no rank
Limnothrix sp. P13C2	species
Pseudanabaena	genus
Pseudanabaena biceps	species
Pseudanabaena biceps PCC 7429	no rank
Pseudanabaena sp. ABRG5-3	species
Pseudanabaena sp. PCC 6802	species
Pseudanabaena sp. PCC 6903	species
Pseudanabaena sp. PCC 7367	species
Synechococcaceae	family
Cyanobium	genus
Cyanobium gracile	species
Cyanobium gracile PCC 6307	no rank
Cyanobium sp. NIES-981	species
Cyanobium sp. PCC 7001	species
Cyanobium sp. PCC 7009	species
Dactylococcopsis	genus
Dactylococcopsis salina	species
Dactylococcopsis salina PCC 8305	no rank
Synechococcus	genus
Candidatus Synechococcus spongiarum	species
Candidatus Synechococcus spongiarum 142	no rank
Candidatus Synechococcus spongiarum 15L	no rank
Candidatus Synechococcus spongiarum SH4	no rank
Synechococcus elongatus	species
Synechococcus elongatus PCC 6301	no rank
Synechococcus elongatus PCC 7942	no rank
Synechococcus lividus	species
Synechococcus lividus C1	no rank
Synechococcus rubescens	species
Synechococcus rubescens SAG 3.81	no rank
Synechococcus sp. C9	species
Synechococcus sp. CB0205	species
Synechococcus sp. CC9311	species
Synechococcus sp. CC9605	species
Synechococcus sp. CC9902	species
Synechococcus sp. GFB01	species
Synechococcus sp. JA-2-3B'a(2-13)	species
Synechococcus sp. JA-3-3Ab	species
Synechococcus sp. KORDI-100	species
Synechococcus sp. KORDI-49	species
Synechococcus sp. KORDI-52	species
Synechococcus sp. MIT S9504	species
Synechococcus sp. NIES-970	species
Synechococcus sp. PCC 6312	species
Synechococcus sp. PCC 7002	species
Synechococcus sp. PCC 7003	species
Synechococcus sp. PCC 7117	species
Synechococcus sp. PCC 73109	species
Synechococcus sp. PCC 7335	species
Synechococcus sp. PCC 7336	species
Synechococcus sp. PCC 7502	species
Synechococcus sp. PCC 7920	species
Synechococcus sp. PCC 8807	species
Synechococcus sp. RCC307	species
Synechococcus sp. RS9916	species
Synechococcus sp. RS9917	species
Synechococcus sp. SynAce01	species
Synechococcus sp. UTEX 2973	species
Synechococcus sp. WH 5701	species
Synechococcus sp. WH 7803	species
Synechococcus sp. WH 7805	species
Synechococcus sp. WH 8020	species
Synechococcus sp. WH 8103	species
Synechococcus sp. WH 8109	species
Thermosynechococcus	genus
Thermosynechococcus elongatus	species
Thermosynechococcus elongatus BP-1	no rank
Thermosynechococcus sp. NK55a	species
Calenema	genus
Calenema singularis	species
Calenema singularis LEGE 06188	no rank
Jaaginema	genus
Jaaginema litorale	species
Jaaginema litorale LEGE 07176	no rank
Lusitaniella	genus
Lusitaniella coriacea	species
Lusitaniella coriacea LEGE 07157	no rank
cyanobacterium PCC 7702	species
cyanobacterium endosymbiont of Epithemia turgida	species
cyanobacterium endosymbiont of Epithemia turgida isolate EtSB Lake Yunoko	no rank
cyanobacterium endosymbiont of Rhopalodia gibberula	species
unicellular cyanobacterium SU2	species
Deinococcus-Thermus	phylum
Deinococci	class
Deinococcales	order
Deinococcaceae	family
Deinococcus	genus
Deinococcus actinosclerus	species
Deinococcus apachensis	species
Deinococcus apachensis DSM 19763	no rank
Deinococcus aquatilis	species
Deinococcus aquatilis DSM 23025	no rank
Deinococcus deserti	species
Deinococcus deserti VCD115	no rank
Deinococcus ficus	species
Deinococcus ficus DSM 19119	no rank
Deinococcus frigens	species
Deinococcus frigens DSM 12807	no rank
Deinococcus geothermalis	species
Deinococcus geothermalis DSM 11300	no rank
Deinococcus gobiensis	species
Deinococcus gobiensis I-0	no rank
Deinococcus grandis	species
Deinococcus hopiensis	species
Deinococcus hopiensis KR-140	no rank
Deinococcus irradiatisoli	species
Deinococcus maricopensis	species
Deinococcus maricopensis DSM 21211	no rank
Deinococcus marmoris	species
Deinococcus misasensis	species
Deinococcus misasensis DSM 22328	no rank
Deinococcus peraridilitoris	species
Deinococcus peraridilitoris DSM 19664	no rank
Deinococcus phoenicis	species
Deinococcus pimensis	species
Deinococcus pimensis DSM 21231	no rank
Deinococcus proteolyticus	species
Deinococcus proteolyticus MRP	no rank
Deinococcus puniceus	species
Deinococcus radiodurans	species
Deinococcus radiodurans R1	no rank
Deinococcus soli Cha et al. 2016	species
Deinococcus sp. LM3	species
Deinococcus sp. Leaf326	species
Deinococcus sp. NW-56	species
Deinococcus sp. RL	species
Deinococcus sp. YIM 77859	species
Deinococcus swuensis	species
Deinococcus wulumuqiensis	species
Deinococcus wulumuqiensis R13	no rank
Trueperaceae	family
Truepera	genus
Truepera radiovictrix	species
Truepera radiovictrix DSM 17093	no rank
Thermales	order
Thermaceae	family
Marinithermus	genus
Marinithermus hydrothermalis	species
Marinithermus hydrothermalis DSM 14884	no rank
Meiothermus	genus
Meiothermus cerbereus	species
Meiothermus cerbereus DSM 11376	no rank
Meiothermus chliarophilus	species
Meiothermus chliarophilus DSM 9957	no rank
Meiothermus ruber	species
Meiothermus ruber DSM 1279	no rank
Meiothermus ruber H328	no rank
Meiothermus rufus	species
Meiothermus rufus DSM 22234	no rank
Meiothermus silvanus	species
Meiothermus silvanus DSM 9946	no rank
Meiothermus taiwanensis	species
Meiothermus taiwanensis WR-220	no rank
Meiothermus timidus	species
Meiothermus timidus DSM 17022	no rank
Oceanithermus	genus
Oceanithermus profundus	species
Oceanithermus profundus DSM 14977	no rank
Thermus	genus
Thermus amyloliquefaciens	species
Thermus antranikianii	species
Thermus antranikianii DSM 12462	no rank
Thermus aquaticus	species
Thermus aquaticus Y51MC23	no rank
Thermus arciformis	species
Thermus brockianus	species
Thermus caliditerrae	species
Thermus filiformis	species
Thermus igniterrae	species
Thermus igniterrae ATCC 700962	no rank
Thermus islandicus	species
Thermus islandicus DSM 21543	no rank
Thermus kawarayensis	species
Thermus kawarayensis JCM 12314	no rank
Thermus oshimai	species
Thermus oshimai DSM 12092	no rank
Thermus oshimai JL-2	no rank
Thermus parvatiensis	species
Thermus scotoductus	species
Thermus scotoductus SA-01	no rank
Thermus sp. 2.9	species
Thermus sp. CCB_US3_UF1	species
Thermus sp. JCM 17653	species
Thermus tengchongensis	species
Thermus tengchongensis YIM 77401	no rank
Thermus thermophilus	species
Thermus thermophilus ATCC 33923	no rank
Thermus thermophilus HB27	no rank
Thermus thermophilus HB8	no rank
Thermus thermophilus JL-18	no rank
Thermus thermophilus SG0.5JP17-16	no rank
Firmicutes	phylum
Bacilli	class
Bacillales	order
Alicyclobacillaceae	family
Alicyclobacillus	genus
Alicyclobacillus acidiphilus	species
Alicyclobacillus acidocaldarius	species
Alicyclobacillus acidocaldarius subsp. acidocaldarius	subspecies
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446	no rank
Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1	no rank
Alicyclobacillus acidocaldarius subsp. rittmannii	subspecies
Alicyclobacillus acidoterrestris	species
Alicyclobacillus acidoterrestris ATCC 49025	no rank
Alicyclobacillus contaminans	species
Alicyclobacillus cycloheptanicus	species
Alicyclobacillus fastidiosus	species
Alicyclobacillus ferrooxydans	species
Alicyclobacillus genomosp. 1	species
Alicyclobacillus herbarius	species
Alicyclobacillus hesperidum	species
Alicyclobacillus kakegawensis	species
Alicyclobacillus kakegawensis NBRC 103104	no rank
Alicyclobacillus macrosporangiidus	species
Alicyclobacillus macrosporangiidus CPP55	no rank
Alicyclobacillus pomorum	species
Alicyclobacillus sacchari	species
Alicyclobacillus sendaiensis	species
Alicyclobacillus shizuokensis	species
Alicyclobacillus shizuokensis NBRC 103103	no rank
Alicyclobacillus sp. FR-12	species
Alicyclobacillus sp. HH2	species
Alicyclobacillus sp. KASA2	species
Alicyclobacillus sp. SHE1-20	species
Alicyclobacillus sp. SKO2	species
Alicyclobacillus sp. Z27	species
Alicyclobacillus tolerans	species
Alicyclobacillus vulcanalis	species
Kyrpidia	genus
Kyrpidia spormannii	species
Kyrpidia tusciae	species
Kyrpidia tusciae DSM 2912	no rank
Tumebacillus	genus
Tumebacillus algifaecis	species
Tumebacillus avium	species
Bacillaceae	family
Aeribacillus	genus
Aeribacillus pallidus	species
Alkalibacillus	genus
Alkalibacillus haloalkaliphilus	species
Alkalibacillus haloalkaliphilus C5	no rank
Amphibacillus	genus
Amphibacillus marinus	species
Amphibacillus sediminis	species
Amphibacillus sediminis NBRC 103570	no rank
Amphibacillus xylanus	species
Amphibacillus xylanus NBRC 15112	no rank
Anaerobacillus	genus
Anaerobacillus alkalidiazotrophicus	species
Anaerobacillus alkalilacustris	species
Anaerobacillus isosaccharinicus	species
Anoxybacillus	genus
Anoxybacillus amylolyticus	species
Anoxybacillus flavithermus	species
Anoxybacillus flavithermus WK1	no rank
Anoxybacillus gonensis	species
Anoxybacillus kamchatkensis	species
Anoxybacillus kamchatkensis G10	no rank
Anoxybacillus sp. B2M1	species
Anoxybacillus sp. B7M1	species
Anoxybacillus thermarum	species
Bacillus <bacterium>	genus
Bacillus abyssalis	species
Bacillus acidicola	species
Bacillus alcalophilus	species
Bacillus alcalophilus ATCC 27647 = CGMCC 1.3604	no rank
Bacillus alkalinitrilicus	species
Bacillus alkalitelluris	species
Bacillus altitudinis complex	species group
Bacillus altitudinis	species
Bacillus cellulasensis	species
Bacillus andreraoultii	species
Bacillus aquimaris	species
Bacillus aquimaris TF-12	no rank
Bacillus aryabhattai	species
Bacillus azotoformans	species
Bacillus azotoformans MEV2011	no rank
Bacillus bataviensis	species
Bacillus bataviensis LMG 21833	no rank
Bacillus beveridgei	species
Bacillus bogoriensis	species
Bacillus bogoriensis ATCC BAA-922	no rank
Bacillus butanolivorans	species
Bacillus caseinilyticus	species
Bacillus cecembensis	species
Bacillus cellulosilyticus	species
Bacillus cellulosilyticus DSM 2522	no rank
Bacillus cereus group	species group
Bacillus anthracis	species
Bacillus anthracis str. 'Ames Ancestor'	no rank
Bacillus anthracis str. A0248	no rank
Bacillus anthracis str. A16	no rank
Bacillus anthracis str. A16R	no rank
Bacillus anthracis str. CDC 684	no rank
Bacillus anthracis str. H9401	no rank
Bacillus anthracis str. SVA11	no rank
Bacillus anthracis str. Sterne	no rank
Bacillus anthracis str. Turkey32	no rank
Bacillus anthracis str. V770-NP-1R	no rank
Bacillus anthracis str. Vollum	no rank
Bacillus bombysepticus	species
Bacillus bombysepticus str. Wang	no rank
Bacillus cereus	species
Bacillus cereus 03BB102	no rank
Bacillus cereus 03BB108	no rank
Bacillus cereus AH187	no rank
Bacillus cereus AH820	no rank
Bacillus cereus ATCC 10876	no rank
Bacillus cereus ATCC 10987	no rank
Bacillus cereus ATCC 4342	no rank
Bacillus cereus B4264	no rank
Bacillus cereus BGSC 6E1	no rank
Bacillus cereus C1L	no rank
Bacillus cereus D17	no rank
Bacillus cereus E33L	no rank
Bacillus cereus F837/76	no rank
Bacillus cereus FRI-35	no rank
Bacillus cereus G9241	no rank
Bacillus cereus G9842	no rank
Bacillus cereus NC7401	no rank
Bacillus cereus Q1	no rank
Bacillus cereus W	no rank
Bacillus cereus biovar anthracis	no rank
Bacillus cytotoxicus	species
Bacillus cytotoxicus NVH 391-98	no rank
Bacillus manliponensis	species
Bacillus mobilis	species
Bacillus mycoides	species
Bacillus mycoides DSM 2048	no rank
Bacillus mycoides KBAB4	no rank
Bacillus pseudomycoides	species
Bacillus pseudomycoides DSM 12442	no rank
Bacillus sp. ABP14	species
Bacillus sp. FDAARGOS_235	species
Bacillus sp. HBCD-sjtu	species
Bacillus thuringiensis	species
Bacillus thuringiensis Bt18247	no rank
Bacillus thuringiensis Bt407	no rank
Bacillus thuringiensis HD-771	no rank
Bacillus thuringiensis HD-789	no rank
Bacillus thuringiensis HD1002	no rank
Bacillus thuringiensis LM1212	no rank
Bacillus thuringiensis MC28	no rank
Bacillus thuringiensis YBT-1518	no rank
Bacillus thuringiensis serovar alesti	no rank
Bacillus thuringiensis serovar berliner	no rank
Bacillus thuringiensis serovar chinensis	no rank
Bacillus thuringiensis serovar coreanensis	no rank
Bacillus thuringiensis serovar finitimus	no rank
Bacillus thuringiensis serovar galleriae	no rank
Bacillus thuringiensis serovar indiana	no rank
Bacillus thuringiensis serovar israelensis	no rank
Bacillus thuringiensis serovar kurstaki	no rank
Bacillus thuringiensis serovar morrisoni	no rank
Bacillus thuringiensis serovar thuringiensis	no rank
Bacillus thuringiensis serovar tolworthi	no rank
Bacillus thuringiensis str. Al Hakam	no rank
[Bacillus thuringiensis] serovar konkukian	no rank
Bacillus toyonensis	species
Bacillus toyonensis BCT-7112	no rank
Bacillus wiedmannii	species
Bacillus circulans	species
Bacillus clausii	species
Bacillus clausii KSM-K16	no rank
Bacillus coagulans	species
Bacillus coagulans 2-6	no rank
Bacillus coagulans 36D1	no rank
Bacillus coagulans DSM 1 = ATCC 7050	no rank
Bacillus coahuilensis	species
Bacillus coahuilensis m4-4	no rank
Bacillus cohnii	species
Bacillus cohnii NBRC 15565	no rank
Bacillus dakarensis	species
Bacillus decisifrondis	species
Bacillus drentensis	species
Bacillus eiseniae	species
Bacillus filamentosus	species
Bacillus flexus	species
Bacillus fumarioli	species
Bacillus fumarioli NBRC 102428	no rank
Bacillus galactosidilyticus	species
Bacillus gibsonii	species
Bacillus ginsengihumi	species
Bacillus glycinifermentans	species
Bacillus gobiensis	species
Bacillus gottheilii	species
Bacillus halmapalus	species
Bacillus halodurans	species
Bacillus halodurans C-125	no rank
Bacillus halosaccharovorans	species
Bacillus horikoshii	species
Bacillus horneckiae	species
Bacillus indicus	species
Bacillus indicus LMG 22858	no rank
Bacillus infantis	species
Bacillus infantis NRRL B-14911	no rank
Bacillus intestinalis	species
Bacillus jeotgali	species
Bacillus kochii	species
Bacillus koreensis	species
Bacillus krulwichiae	species
Bacillus kwashiorkori	species
Bacillus lehensis	species
Bacillus lehensis G1	no rank
Bacillus lentus	species
Bacillus lentus NBRC 16444	no rank
Bacillus ligniniphilus	species
Bacillus loiseleuriae	species
Bacillus lonarensis	species
Bacillus marinisedimentorum	species
Bacillus marisflavi	species
Bacillus massiliglaciei	species
Bacillus massilioanorexius	species
Bacillus massilioanorexius AP8	no rank
Bacillus massiliogorillae	species
Bacillus massilionigeriensis	species
Bacillus mediterraneensis	species
Bacillus megaterium	species
Bacillus megaterium DSM 319	no rank
Bacillus megaterium NBRC 15308 = ATCC 14581	no rank
Bacillus megaterium NCT-2	no rank
Bacillus megaterium Q3	no rank
Bacillus megaterium QM B1551	no rank
Bacillus megaterium WSH-002	no rank
Bacillus mesonae	species
Bacillus methanolicus	species
Bacillus methanolicus MGA3	no rank
Bacillus methanolicus PB1	no rank
Bacillus muralis	species
Bacillus niacini	species
Bacillus niacini NBRC 15566	no rank
Bacillus niameyensis	species
Bacillus novalis	species
Bacillus oceanisediminis	species
Bacillus oceanisediminis 2691	no rank
Bacillus oleronius	species
Bacillus oryziterrae	species
Bacillus patagoniensis	species
Bacillus phocaeensis	species
Bacillus pseudofirmus	species
Bacillus pseudofirmus OF4	no rank
Bacillus psychrosaccharolyticus	species
Bacillus psychrosaccharolyticus ATCC 23296	no rank
Bacillus pumilus	species
Bacillus pumilus ATCC 7061	no rank
Bacillus pumilus SAFR-032	no rank
Bacillus rubiinfantis	species
Bacillus safensis	species
Bacillus safensis FO-36b	no rank
Bacillus shackletonii	species
Bacillus simplex	species
Bacillus simplex BA2H3	no rank
Bacillus simplex NBRC 15720 = DSM 1321	no rank
Bacillus sinesaloumensis	species
Bacillus smithii	species
Bacillus solani	species
Bacillus soli	species
Bacillus soli NBRC 102451	no rank
Bacillus solimangrovi	species
Bacillus sp. 17376	species
Bacillus sp. 1NLA3E	species
Bacillus sp. 1s-1	species
Bacillus sp. 275	species
Bacillus sp. ALBL_207	species
Bacillus sp. B-jedd	species
Bacillus sp. BH072	species
Bacillus sp. BS34A	species
Bacillus sp. CHD6a	species
Bacillus sp. CMAA 1185	species
Bacillus sp. DM2	species
Bacillus sp. FJAT-14266	species
Bacillus sp. FJAT-18017	species
Bacillus sp. FJAT-18019	species
Bacillus sp. FJAT-21945	species
Bacillus sp. FJAT-22090	species
Bacillus sp. FJAT-25496	species
Bacillus sp. FJAT-25509	species
Bacillus sp. FJAT-26390	species
Bacillus sp. FJAT-27231	species
Bacillus sp. FJAT-27238	species
Bacillus sp. FJAT-27264	species
Bacillus sp. FJAT-27445	species
Bacillus sp. FJAT-27916	species
Bacillus sp. FJAT-27986	species
Bacillus sp. FJAT-44921	species
Bacillus sp. FJAT-45348	species
Bacillus sp. H15-1	species
Bacillus sp. IHB B 7164	species
Bacillus sp. JCA	species
Bacillus sp. JCM 19034	species
Bacillus sp. JCM 19035	species
Bacillus sp. JCM 19056	species
Bacillus sp. JCM 19058	species
Bacillus sp. JS	species
Bacillus sp. LF1	species
Bacillus sp. LL01	species
Bacillus sp. LM 4-2	species
Bacillus sp. Lzh-5	species
Bacillus sp. MD-5	species
Bacillus sp. MKU004	species
Bacillus sp. MRMR6	species
Bacillus sp. MUM 116	species
Bacillus sp. NRRL B-14911	species
Bacillus sp. OV166	species
Bacillus sp. OV322	species
Bacillus sp. OxB-1	species
Bacillus sp. Pc3	species
Bacillus sp. SDLI1	species
Bacillus sp. SG-1	species
Bacillus sp. SJ-10	species
Bacillus sp. SJS	species
Bacillus sp. VT-16-64	species
Bacillus sp. WP8	species
Bacillus sp. X1(2014)	species
Bacillus sp. Y-01	species
Bacillus sp. Y1	species
Bacillus sp. YP1	species
Bacillus sp. ZY-1-1	species
Bacillus subterraneus	species
Bacillus subtilis group	species group
Bacillus amyloliquefaciens group	species subgroup
Bacillus amyloliquefaciens	species
Bacillus amyloliquefaciens	no rank
Bacillus siamensis	species
Bacillus siamensis	no rank
Bacillus velezensis	species
Bacillus velezensis	no rank
Bacillus atrophaeus	species
Bacillus atrophaeus 1942	no rank
Bacillus atrophaeus UCMB-5137	no rank
Bacillus atrophaeus subsp. globigii	subspecies
Bacillus licheniformis	species
Bacillus licheniformis DSM 13 = ATCC 14580	no rank
Bacillus licheniformis WX-02	no rank
Bacillus mojavensis subgroup	species subgroup
Bacillus mojavensis	species
Bacillus mojavensis	no rank
Bacillus paralicheniformis	species
Bacillus paralicheniformis ATCC 9945a	no rank
Bacillus sonorensis	species
Bacillus subtilis	species
Bacillus subtilis BEST7003	no rank
Bacillus subtilis BSn5	no rank
Bacillus subtilis HJ5	no rank
Bacillus subtilis KCTC 1028	no rank
Bacillus subtilis PY79	no rank
Bacillus subtilis QB928	no rank
Bacillus subtilis TO-A	no rank
Bacillus subtilis XF-1	no rank
Bacillus subtilis subsp. globigii	subspecies
Bacillus subtilis subsp. inaquosorum	subspecies
Bacillus subtilis subsp. inaquosorum	no rank
Bacillus subtilis subsp. natto	subspecies
Bacillus subtilis subsp. natto	no rank
Bacillus subtilis subsp. spizizenii	subspecies
Bacillus subtilis subsp. spizizenii	no rank
Bacillus subtilis subsp. subtilis	subspecies
Bacillus subtilis subsp. subtilis	no rank
Bacillus vallismortis	species
Bacillus vallismortis DV1-F-3	no rank
Bacillus testis	species
Bacillus thermoamylovorans	species
Bacillus trypoxylicola	species
Bacillus tuaregi	species
Bacillus vietnamensis	species
Bacillus vireti	species
Bacillus weihaiensis	species
Bacillus xiamenensis	species
Calditerricola	genus
Calditerricola satsumensis	species
Calditerricola satsumensis JCM 14719	no rank
Domibacillus	genus
Domibacillus antri	species
Domibacillus enclensis	species
Domibacillus epiphyticus	species
Domibacillus indicus	species
Domibacillus iocasae	species
Domibacillus mangrovi	species
Domibacillus robiginosus	species
Domibacillus tundrae	species
Edaphobacillus	genus
Edaphobacillus lindanitolerans	species
Fictibacillus	genus
Fictibacillus arsenicus	species
Fictibacillus macauensis	species
Fictibacillus macauensis ZFHKF-1	no rank
Fictibacillus phosphorivorans	species
Geobacillus	genus
Geobacillus genomosp. 3	species
Geobacillus sp. 12AMOR1	species
Geobacillus sp. BCO2	species
Geobacillus sp. C56-T3	species
Geobacillus sp. GHH01	species
Geobacillus sp. JS12	species
Geobacillus sp. LC300	species
Geobacillus sp. LEMMY01	species
Geobacillus sp. MAS1	species
Geobacillus sp. Sah69	species
Geobacillus sp. WCH70	species
Geobacillus sp. Y4.1MC1	species
Geobacillus sp. Y412MC52	species
Geobacillus sp. Y412MC61	species
Geobacillus stearothermophilus	species
Geobacillus stearothermophilus 10	no rank
Geobacillus subterraneus	species
Geobacillus subterraneus PSS2	no rank
Geobacillus thermodenitrificans	species
Geobacillus thermodenitrificans NG80-2	no rank
Geobacillus thermoleovorans group	species group
Geobacillus kaustophilus	species
Geobacillus kaustophilus HTA426	no rank
Geobacillus lituanicus	species
Geobacillus thermoleovorans	species
Geobacillus thermoleovorans CCB_US3_UF5	no rank
Geobacillus vulcani	species
Geobacillus vulcani PSS1	no rank
[Bacillus] caldolyticus	species
Geobacillus zalihae	species
Gracilibacillus	genus
Gracilibacillus halophilus	species
Gracilibacillus halophilus YIM-C55.5	no rank
Gracilibacillus massiliensis	species
Gracilibacillus sp. JCM 18966	species
Gracilibacillus timonensis	species
Halobacillus	genus
Halobacillus dabanensis	species
Halobacillus halophilus	species
Halobacillus halophilus DSM 2266	no rank
Halobacillus hunanensis	species
Halobacillus mangrovi	species
Halobacillus massiliensis	species
Halobacillus salinus	species
Halobacillus sp. BAB-2008	species
Halobacillus sp. BBL2006	species
Halolactibacillus	genus
Halolactibacillus halophilus	species
Hydrogenibacillus	genus
Hydrogenibacillus schlegelii	species
Lentibacillus	genus
Lentibacillus amyloliquefaciens	species
Lentibacillus jeotgali	species
Lentibacillus juripiscarius	species
Lentibacillus juripiscarius JCM 12147	no rank
Lysinibacillus	genus
Lysinibacillus boronitolerans	species
Lysinibacillus boronitolerans JCM 21713 = 10a = NBRC 103108	no rank
Lysinibacillus contaminans	species
Lysinibacillus fusiformis	species
Lysinibacillus macroides	species
Lysinibacillus saudimassiliensis	species
Lysinibacillus sp. 2017	species
Lysinibacillus sp. YS11	species
Lysinibacillus sphaericus	species
Lysinibacillus sphaericus C3-41	no rank
Lysinibacillus sphaericus KCTC 3346	no rank
Lysinibacillus varians	species
[Bacillus] sp. KCTC 13219	species
Marinococcus	genus
Marinococcus halophilus	species
Massilibacterium	genus
Massilibacterium senegalense	species
Numidum	genus
Numidum massiliense	species
Oceanobacillus	genus
Oceanobacillus caeni	species
Oceanobacillus iheyensis	species
Oceanobacillus iheyensis HTE831	no rank
Oceanobacillus jeddahense	species
Oceanobacillus massiliensis	species
Oceanobacillus massiliensis str. N'diop	no rank
Oceanobacillus oncorhynchi	species
Oceanobacillus picturae	species
Oceanobacillus senegalensis	species
Oceanobacillus sojae	species
Oceanobacillus sp. 143	species
Oceanobacillus sp. 160	species
Oceanobacillus sp. JCM 19060	species
Oceanobacillus timonensis	species
Ornithinibacillus	genus
Ornithinibacillus californiensis	species
Ornithinibacillus contaminans	species
Ornithinibacillus scapharcae	species
Ornithinibacillus scapharcae TW25	no rank
Parageobacillus	genus
Parageobacillus caldoxylosilyticus	species
Parageobacillus genomosp. 1	species
Parageobacillus thermoglucosidasius	species
Parageobacillus thermoglucosidasius C56-YS93	no rank
Paraliobacillus	genus
Paraliobacillus ryukyuensis	species
Paraliobacillus sp. PM-2	species
Paraliobacillus sp. X-1125	species
Paucisalibacillus	genus
Paucisalibacillus globulus	species
Paucisalibacillus sp. EB02	species
Pelagirhabdus	genus
Pelagirhabdus alkalitolerans	species
Piscibacillus	genus
Piscibacillus salipiscarius	species
Piscibacillus salipiscarius JCM 13188	no rank
Pontibacillus	genus
Pontibacillus halophilus	species
Pontibacillus halophilus JSM 076056 = DSM 19796	no rank
Pontibacillus litoralis	species
Pontibacillus litoralis JSM 072002	no rank
Pontibacillus marinus	species
Pontibacillus marinus BH030004 = DSM 16465	no rank
Pontibacillus yanchengensis	species
Pontibacillus yanchengensis Y32	no rank
Psychrobacillus	genus
Psychrobacillus insolitus	species
Psychrobacillus psychrodurans	species
Psychrobacillus sp. OK032	species
Quasibacillus	genus
Quasibacillus thermotolerans	species
Rubeoparvulum	genus
Rubeoparvulum massiliense	species
Salibacterium	genus
Salibacterium halotolerans	species
Salimicrobium	genus
Salimicrobium flavidum	species
Salimicrobium jeotgali	species
Salinibacillus	genus
Salinibacillus aidingensis	species
Salinibacillus aidingensis MSP4	no rank
Salipaludibacillus	genus
Salipaludibacillus agaradhaerens	species
Salipaludibacillus aurantiacus	species
Salisediminibacterium	genus
Salisediminibacterium haloalkalitolerans	species
Sediminibacillus	genus
Sediminibacillus albus	species
Sediminibacillus halophilus	species
Sediminibacillus halophilus NSP9.3	no rank
Sediminibacillus massiliensis	species
Terribacillus	genus
Terribacillus goriensis	species
Thalassobacillus	genus
Thalassobacillus cyri	species
Virgibacillus	genus
Virgibacillus alimentarius	species
Virgibacillus dokdonensis	species
Virgibacillus halodenitrificans	species
Virgibacillus massiliensis	species
