primaryAccession	start	stop	submitted_path	submitted_name	ncbi_taxonid
KM853484	1	2301	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Gomphocerinae;Syrbula;"	Syrbula montezuma	1249066
GQ377456	1	3485	"Eukaryota;Metazoa;Cnidaria;Anthozoa;Octocorallia;Alcyonacea;Parasphaerascleridae;Parasphaerasclera;"	Parasphaerasclera aurea	1427712
KM853485	1	2272	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Gomphocerinae;Dichromorpha;"	Dichromorpha viridis	1034422
GQ380691	1	1953	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Dictyoptera;Blattodea;Blaberoidea;Blaberidae;Blaberinae;Blaberus;"	Blaberus discoidalis (tropical cockroach)	6981
KM853488	1	2222	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Ommatolampinae;Abracris;"	Abracris sp. BYU-IGC-OR222	1636886
KM853490	1	2213	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Pamphagoidea;Pamphagidae;Porthetinae;Porthetis;"	Porthetis carinata	1634159
KM853493	1	2300	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Tristiridae;Tristira;"	Tristira magellanica	353562
KM853495	1	2210	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Tristiridae;Atacamacris;"	Atacamacris diminuta	1634119
KM853496	1	2286	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Calliptaminae;Paracaloptenus;"	Paracaloptenus caloptenoides	1634090
KM853503	1	2205	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Oedipodinae;Trimerotropis;"	Trimerotropis sp. BYU-IGC-OR186	1636912
KM853505	1	2269	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Acrididae;Cyrtacanthacridinae;Anacridium;"	Anacridium sp. BYU-IGC-OR184	1636887
KM853507	1	2283	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Ensifera;Gryllidea;Gryllotalpoidea;Gryllotalpidae;Gryllotalpinae;Gryllotalpa;"	Gryllotalpa sp. BYU-IGC-OR162	1636901
KM853508	1	2214	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Tridactylidea;Tridactyloidea;Tridactylidae;Ellipes;"	Ellipes minuta	241046
KM853509	1	2299	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Pamphagoidea;Pamphagidae;Thrinchinae;Prionotropis;"	Prionotropis hystrix	197705
KM853511	1	2099	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Acrididea;Acridomorpha;Acridoidea;Romaleidae;Romaleinae;Titanacris;"	Titanacris albipes	1634173
KM853516	1	2233	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Caelifera;Tridactylidea;Tridactyloidea;Cylindrachetidae;Cylindraustralia;"	Cylindraustralia sp. BYU-IGC-OR027	1636898
KM853517	1	2244	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Ensifera;Gryllidea;Grylloidea;Gryllidae;Myrmecophilinae;Myrmecophilus;"	Myrmecophilus manni (Mann's ant cricket)	270849
KM853519	1	2338	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Hexapoda;Insecta;Pterygota;Neoptera;Polyneoptera;Orthoptera;Ensifera;Gryllidea;Grylloidea;Gryllidae;Gryllinae;Gryllus;"	Gryllus assimilis	128156
NBMB01000012	69179	72031	"Bacteria;Candidatus Cloacimonetes;"	Candidatus Cloacimonetes bacterium 4572_55	1971726
NBYR01000019	89824	92378	"Bacteria;Proteobacteria;Gammaproteobacteria;Oceanospirillales;Halomonadaceae;Halomonas;"	Halomonas sp. CSM-2	1975722
GU066251	1336	4198	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Asparagales;Orchidaceae;Orchidoideae;Diurideae;Rhizanthellinae;Rhizanthella;"	Rhizanthella gardneri	112168
KX713355	1	2094	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Pteriomorphia;Limoida;Limidae;Acesta;"	Acesta excavata	428146
KX713357	1	1987	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Palaeoheterodonta;Unionoida;Muteloidea;Mycetopodidae;Anodontites;"	Anodontites elongata	1076527
KX713358	1	2051	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Pteriomorphia;Pectinoida;Anomioidea;Anomiidae;Anomia;"	Anomia ephippium	102291
GQ424289	1	3156	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Asyncorinidae;Asyncoryne;"	Asyncoryne ryniensis	576741
GQ424290	1	3223	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Cladonematidae;Cladonema;"	Cladonema radiatum	264074
GQ424291	1	2085	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Cladonematidae;Eleutheria;"	Eleutheria dichotoma	13050
GQ424292	1	2083	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Cladonematidae;Eleutheria;"	Eleutheria claparedei	349678
GQ424294	1	3202	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Coryne;"	Coryne cliffordi	662072
GQ424296	1	2036	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Coryne;"	Coryne eximia	264117
GQ424297	1	3231	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Coryne;"	Coryne muscoides	264146
GQ424299	1	3197	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Coryne;"	Coryne nipponica	662074
GQ424300	1	3237	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Coryne;"	Coryne pintneri	264118
GQ424302	1	3197	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Codonium;"	Codonium proliferum	1345089
GQ424306	1	3228	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Coryne;"	Coryne uchidai	662077
GQ424308	1	3012	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Dipurena;"	Dipurena reesi	264133
GQ424309	1	3207	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Stauridiosarsia;"	Stauridiosarsia ophiogaster	1279102
GQ424312	1	3218	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Corynidae;Sarsia;"	Sarsia tubulosa	264121
GQ424313	1	2023	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Hydrocorynidae;Hydrocoryne;"	Hydrocoryne miurensis	662084
GQ424314	1	2885	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Moerisiidae;Odessia;"	Odessia maeotica	662085
GQ424317	1	3257	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Polyorchidae;Polyorchis;"	Polyorchis haplus	168780
GQ424318	1	3211	"Eukaryota;Metazoa;Cnidaria;Hydrozoa;Hydroidolina;Anthoathecata;Capitata;Sphaerocorynidae;Sphaerocoryne;"	Sphaerocoryne agassizii	662088
KX713360	1	2039	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Pteriomorphia;Mytiloida;Mytiloidea;Mytilidae;Bathymodiolinae;Bathymodiolus;"	Bathymodiolus brevior	240807
U34336	1	3410	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Coelacanthiformes;Coelacanthidae;Latimeria;"	Latimeria chalumnae (coelacanth)	7897
U34337	1	3471	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Dipnoi;Lepidosireniformes;Lepidosirenidae;Lepidosiren;"	Lepidosiren paradoxa (South American lungfish)	7883
U34338	1	3400	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Dipnoi;Ceratodontiformes;Ceratodontidae;Neoceratodus;"	Neoceratodus forsteri (Australian lungfish)	7892
U34339	1	3355	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Dipnoi;Lepidosireniformes;Protopteridae;Protopterus;"	Protopterus aethiopicus (marbled lungfish)	7886
U34340	1	3432	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Chondrostei;Acipenseriformes;Acipenseridae;Acipenser;"	Acipenser brevirostrum (shortnose sturgeon)	7907
U34342	1	3663	"Eukaryota;Metazoa;Chordata;Craniata;Vertebrata;Euteleostomi;Actinopterygii;Neopterygii;Teleostei;Anguilliformes;Anguillidae;Anguilla;"	Anguilla rostrata (American eel)	7938
KX450876	136217	139217	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;rosids;fabids;Rosales;Rosaceae;Amygdaloideae;Maleae;Pyrus;"	Pyrus pyrifolia	3767
NBXF01000035	519	3363	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhodobacterales;Rhodobacteraceae;Thioclava;"	Thioclava sp. ElOx9	1549850
KX462129	118111	121326	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Campanulaceae;Adenophora;"	Adenophora divaricata	82271
KX462131	117068	120300	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;eudicotyledons;Gunneridae;Pentapetalae;asterids;campanulids;Asterales;Campanulaceae;Adenophora;"	Adenophora stricta	82279
KC196727	1	2060	"Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Haematococcaceae;Balticola;"	Balticola buetschlii	1328803
KC196730	1	2060	"Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Lobochlamys;"	Lobochlamys culleus	51693
KC196731	1	2060	"Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chloromonas;"	Chloromonas rosae	51731
KC196735	1	2000	"Eukaryota;Viridiplantae;Chlorophyta;Chlorophyceae;Chlamydomonadales;Actinochloridaceae;Macrochloris;"	Macrochloris radiosa	1328807
KX713377	1	2069	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Lucinoida;Lucinoidea;Ungulinidae;Diplodonta;"	Diplodonta sp. DJC-2016	1920025
KX713379	1	2123	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Tellinoidea;Donacidae;Donax;"	Donax variegatus	1920007
KX713382	1	1911	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Solenoidea;Pharidae;Ensis;"	Ensis siliqua	251531
KX713384	1	2082	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Palaeoheterodonta;Unionoida;Muteloidea;Etheriidae;Etheria;"	Etheria elliptica	152242
KX713385	1	2069	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Cyamioidea;Gaimardiidae;Gaimardia;"	Gaimardia trapesina	457840
KX713386	1	2118	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Galeommatoidea;Galeommatidae;Galeomma;"	Galeomma turtoni	115019
KX713389	1	2040	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Palaeoheterodonta;Unionoida;Unionoidea;Hyriidae;Hyridella;"	Hyridella australis	139417
KX713391	1	2030	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Protobranchia;Nuculanoida;Malletiidae;Katadesmia;"	Katadesmia cuneata	1069096
GU176295	1	2702	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Kallymeniaceae;Kallymenia;"	Kallymenia reniformis	40406
GU176296	1	2695	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dumontiaceae;Kraftia;"	Kraftia dichotoma	142512
GU176297	1	2726	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dumontiaceae;Gibsmithia;"	Gibsmithia hawaiiensis	439555
GU176298	1	2697	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dumontiaceae;Gibsmithia;"	Gibsmithia dotyi	142507
GU176299	1	2713	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dumontiaceae;Farlowia;"	Farlowia mollis	42016
GU176300	1	2706	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dumontiaceae;Dudresnaya;"	Dudresnaya australis	753887
GU176301	1	2686	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Dumontiaceae;Dudresnaya;"	Dudresnaya verticillata	508027
GU176302	1	2705	"Eukaryota;Rhodophyta;Florideophyceae;Rhodymeniophycidae;Gigartinales;Kallymeniaceae;Euthora;"	Euthora timburtonii	994791
KX713393	1	2052	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Palaeoheterodonta;Unionoida;Muteloidea;Mycetopodidae;Lamproscapha;"	Lamproscapha ensiformis	1659697
KX713394	1	2057	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Palaeoheterodonta;Unionoida;Unionoidea;Unionidae;Lampsilinae;Lampsilis;"	Lampsilis cardium	96914
CZJX01000094	2090	5211	"Bacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;"	Kocuria varians	1272
NBCN01000033	61562	64708	"Bacteria;Actinobacteria;Streptomycetales;Streptomycetaceae;Streptomyces;"	Streptomyces sp. CB03238	1907777
KX713397	1	2065	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Pteriomorphia;Mytiloida;Mytiloidea;Mytilidae;Lithophaginae;Lithophaga;"	Lithophaga antillarum	310900
KX713398	1	2048	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Lucinoida;Lucinoidea;Lucinidae;Lucinoma;"	Lucinoma borealis	244482
KX713399	1	2064	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Mactroidea;Mactridae;Mactra;"	Mactra violacea	1920012
GU191333	99694	102501	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Lycopodiopsida;Isoetales;Isoetaceae;Isoetes;"	Isoetes flaccida	49763
GU191334	98127	100925	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Polypodiopsida;Equisetidae;Equisetales;Equisetaceae;Equisetum;"	Equisetum arvense (field horsetail)	3258
GU192358	1	2696	"Eukaryota;Rhodophyta;Florideophyceae;Nemaliophycidae;Palmariales;Meiodiscaceae;Meiodiscus;"	Meiodiscus concrescens	700708
KX713401	1	2085	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Veneroidea;Veneridae;Mercenaria;"	Mercenaria mercenaria	6596
KC811143	20488	23548	"Bacteria;Actinobacteria;Candidatus Actinomarinidae;Candidatus Actinomarinales;Candidatus Actinomarineae;Candidatus Actinomarinaceae;Candidatus Actinomarina;"	Candidatus Actinomarina minuta	1389454
CZJY01000016	2207	5318	"Bacteria;Actinobacteria;Micrococcales;Microbacteriaceae;Pseudoclavibacter;"	Pseudoclavibacter helvolus	255205
GU192368	1	2699	"Eukaryota;Rhodophyta;Florideophyceae;Nemaliophycidae;Palmariales;Meiodiscaceae;Rubrointrusa;"	Rubrointrusa membranacea	702329
KX713403	1	2060	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Mactroidea;Mactridae;Mulinia;"	Mulinia lateralis	31206
CZPZ01000003	124671	127675	"Bacteria;Nitrospirae;Nitrospirales;Nitrospiraceae;Nitrospira;"	Candidatus Nitrospira nitrificans	1742973
KX713404	1	2069	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Pteriomorphia;Mytiloida;Mytiloidea;Mytilidae;Crenellinae;Musculus;"	Musculus niger	1421139
KC208619	206170	209245	"Eukaryota;Viridiplantae;Streptophyta;Embryophyta;Tracheophyta;Spermatophyta;Magnoliophyta;Liliopsida;Butomaceae;Butomus;"	Butomus umbellatus	50236
GQ487512	1	2225	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Crustacea;Multicrustacea;Malacostraca;Eumalacostraca;Eucarida;Decapoda;Pleocyemata;Caridea;Crangonoidea;Crangonidae;Pontophilus;"	Pontophilus norvegicus	587160
KX713407	1	1980	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Lucinoida;Lucinoidea;Lucinidae;Myrtea;"	Myrtea spinifera	183492
KX713408	1	2090	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Veneroidea;Veneridae;Mysia;"	Mysia undata	1920014
GQ488405	1	2153	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Opiliones;Cyphophthalmi;Tropicophthalmi;Stylocelloidea;Stylocellidae;Stylocellus;"	Stylocellus sp. Peninsula 19a	702904
GQ488422	1	2107	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Opiliones;Cyphophthalmi;Tropicophthalmi;Stylocelloidea;Stylocellidae;Stylocellus;"	Stylocellus sp. Sulawesi 6	702916
KX713411	1	2068	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Dreissenoidea;Dreissenidae;Mytilopsis;"	Mytilopsis leucophaeata (dark false mussel)	45971
CZLF01000229	2369	6013	"Eukaryota;Fungi;Dikarya;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetidae;Capnodiales;Mycosphaerellaceae;Ramularia;"	Ramularia collo-cygni	112498
KX713413	1	2060	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Pteriomorphia;Ostreoida;Ostreoidea;Gryphaeidae;Neopycnodonte;"	Neopycnodonte cochlear (deepsea oyster)	112203
CZKG01000048	35741	38668	"unclassified sequences;metagenomes;ecological metagenomes;"	soil metagenome	410658
KX713416	1	2051	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Myoida;Hiatelloidea;Hiatellidae;Panopea;"	Panopea globosa	1237092
CZVG01000007	37	2932	"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;"	Legionella sp. LH-SWC	1750561
CZCT02000052	3	2887	"Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Planktothrix;"	Planktothrix sp. PCC 11201	1729650
GQ849051	1	3309	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Chirodropida;Chirodropidae;Chironex;"	Chironex fleckeri	45396
GQ849056	1	3306	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Chirodropida;Chiropsalmidae;Chiropsalmus;"	Chiropsalmus quadrumanus	645347
GQ849059	1	3411	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carukiidae;Carukia;"	Carukia barnesi	168717
GQ849060	1	2859	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carukiidae;Morbakka;"	Morbakka virulenta	686327
GQ849062	1	3298	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Tamoyidae;Tamoya;"	Tamoya haplonema auct. non Muller, 1859	686688
GQ849064	1	3270	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Tripedaliidae;Copula;"	Copula sivickisi	168718
GQ849065	1	3285	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Tripedaliidae;Tripedalia;"	Tripedalia cystophora	6141
GQ849066	1	3282	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carybdeidae;Carybdea;"	Carybdea branchi	685041
GQ849067	1	3241	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carybdeidae;Carybdea;"	Carybdea xaymacana auct. non Conant, 1897	686686
GQ849068	1	3309	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carybdeidae;Carybdea;"	Carybdea arborifera	686324
GQ849070	1	3295	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carybdeidae;Carybdea;"	Carybdea mora	685042
CZPU01000011	140898	143831	"Bacteria;Actinobacteria;Coriobacteriia;Coriobacteriales;Atopobiaceae;Olsenella;"	Olsenella sp. SIT9	1622075
GQ849071	1	3303	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carybdeidae;Carybdea;"	Carybdea cf. rastonii BB-2009	685044
GQ849072	1	3290	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carybdeidae;Carybdea;"	Carybdea marsupialis auct. non (Linnaeus, 1758)	686687
CZPV01000004	2386	5275	"Bacteria;Proteobacteria;Betaproteobacteria;Neisseriales;Neisseriaceae;Vitreoscilla;"	Vitreoscilla sp. SN6	1689272
KX713417	1	2089	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Veneroidea;Petricolidae;Petricolaria;"	Petricolaria pholadiformis	345466
CZJZ01000092	315	3451	"Bacteria;environmental samples;"	nitrifying bacterium enrichment culture	1648056
CZJU01000044	411	3419	"Bacteria;Actinobacteria;Micrococcales;Micrococcaceae;Kocuria;"	Kocuria salsicia	664639
KX713419	1	2125	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Myoida;Pholadoidea;Pholadidae;Pholas;"	Pholas dactylus	52916
CZJT01000054	105	3149	"Bacteria;Actinobacteria;Micrococcales;Micrococcaceae;Paeniglutamicibacter;"	Paeniglutamicibacter antarcticus	494023
GQ860995	1	3272	"Eukaryota;Metazoa;Cnidaria;Cubozoa;Carybdeida;Carybdeidae;Carybdea;"	Carybdea xaymacana	168719
NBAF01001553	91828	95312	"Eukaryota;Metazoa;Ecdysozoa;Arthropoda;Chelicerata;Arachnida;Acari;Acariformes;Sarcoptiformes;Astigmata;Psoroptidia;Analgoidea;Pyroglyphidae;Dermatophagoidinae;Dermatophagoides;"	Dermatophagoides farinae (American house dust mite)	6954
CZDF01000121	15	2898	"Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Planktothrix;"	Planktothrix tepida PCC 9214	671072
KX713421	1	2058	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Corbiculoidea;Sphaeriidae;Pisidium;"	Pisidium walkeri	1920015
KX713423	1	2094	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Tellinoidea;Donacidae;Donax;"	Donax deltoides	1085633
MTLA01000019	7	2977	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;"	Bacillus oleronius	38875
CZCZ01000004	727905	730790	"Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Planktothrix;"	Planktothrix rubescens	59512
CZVW01000013	27363	30391	"Bacteria;Candidatus Kryptonia;Candidatus Chrysopegis;"	Candidatus Chrysopegis kryptomonas	1633643
CZAF01000001	552681	555503	"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;"	Bacteroides uniformis	820
KX713425	1	2076	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Corbiculoidea;Corbiculidae;Polymesoda;"	Polymesoda caroliniana	98308
KX713426	1	2095	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Gastrochaenoidea;Gastrochaenidae;Rocellaria;"	Rocellaria dubia	1920016
CZCU01000145	26085	28969	"Bacteria;Cyanobacteria;Oscillatoriophycideae;Oscillatoriales;Microcoleaceae;Planktothrix;"	Planktothrix serta PCC 8927	671068
MTNX01000105	2	2120	"Bacteria;Chloroflexi;Anaerolineae;Anaerolineales;"	Anaerolineales bacterium JdFR-62	1935097
KX713427	1	2078	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Heterodonta;Euheterodonta;Veneroida;Veneroidea;Veneridae;Ruditapes;"	Ruditapes decussatus	104385
KX713429	1	2075	"Eukaryota;Metazoa;Lophotrochozoa;Mollusca;Bivalvia;Palaeoheterodonta;Unionoida;Unionoidea;Unionidae;Parreysiinae;Scabies;"	Scabies crispata	1659692
MTIX01000002	2507309	2510241	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;"	Bacillus patagoniensis	228576
MTOX01000013	154314	157295	"Bacteria;Nitrospirae;"	Nitrospirae bacterium JdFR-88	1935149
