Taxa_Name	Taxa_Rank
Anaplasma ovis str. Haibei	no rank
environmental samples	no rank
phagocytophilum group	species group
Anaplasma phagocytophilum str. Annie	no rank
Anaplasma phagocytophilum str. ApMUC09	no rank
Anaplasma phagocytophilum str. ApNP	no rank
Anaplasma phagocytophilum str. ApNYW	no rank
Anaplasma phagocytophilum str. ApWI1	no rank
Anaplasma phagocytophilum str. CR1007	no rank
Anaplasma phagocytophilum str. CRT35	no rank
Anaplasma phagocytophilum str. CRT38	no rank
Anaplasma phagocytophilum str. CRT53-1	no rank
Anaplasma phagocytophilum str. Dog2	no rank
Anaplasma phagocytophilum str. HGE1	no rank
Anaplasma phagocytophilum str. HGE2	no rank
Anaplasma phagocytophilum str. HZ2	no rank
Anaplasma phagocytophilum str. HZ	no rank
Anaplasma phagocytophilum str. JM	no rank
Anaplasma phagocytophilum str. MRK	no rank
Anaplasma phagocytophilum str. NCH-1	no rank
Anaplasma phagocytophilum str. Norway variant2	no rank
Anaplasma phagocytophilum str. Webster	no rank
Candidatus Cryptoplasma	genus
Candidatus Neoehrlichia	genus
Candidatus Neoehrlichia lotoris str. RAC413	no rank
environmental samples	no rank
Candidatus Xenohaliotis	genus
Candidatus Xenolissoclinum	genus
Candidatus Xenolissoclinum pacificiensis L6	no rank
Ehrlichia	genus
canis group	species group
Ehrlichia canis str. Jake	no rank
Ehrlichia chaffeensis str. Arkansas	no rank
Ehrlichia chaffeensis str. Jax	no rank
Ehrlichia chaffeensis str. Liberty	no rank
Ehrlichia chaffeensis str. Saint Vincent	no rank
Ehrlichia chaffeensis str. Sapulpa	no rank
Ehrlichia chaffeensis str. Wakulla	no rank
Ehrlichia cf. muris str. EmCRT	no rank
Ehrlichia muris AS145	no rank
Ehrlichia ruminantium str. Gardel	no rank
Ehrlichia ruminantium str. Welgevonden	no rank
environmental samples	no rank
unclassified Ehrlichia	no rank
Neorickettsia	genus
Neorickettsia helminthoeca str. Oregon	no rank
Neorickettsia risticii str. Illinois	no rank
Neorickettsia sennetsu str. Miyayama	no rank
environmental samples	no rank
Wolbachieae	tribe
Wolbachia	genus
Wolbachia endosymbiont strain TRS of Brugia malayi	no rank
Wolbachia endosymbiont wPip_Mol of Culex molestus	no rank
Wolbachia endosymbiont of Culex quinquefasciatus JHB	no rank
Wolbachia endosymbiont of Culex quinquefasciatus Pel	no rank
Wolbachia pipientis wMelPop	no rank
Wolbachia endosymbiont of Drosophila simulans wAu	no rank
Wolbachia endosymbiont of Drosophila simulans wHa	no rank
Wolbachia endosymbiont of Drosophila simulans wNo	no rank
Wolbachia endosymbiont str. valsugana of Drosophila suzukii	no rank
Wolbachia endosymbiont of Drosophila willistoni TSC#14030-0811.24	no rank
Wolbachia endosymbiont of Onchocerca volvulus str. Cameroon	no rank
Wolbachia pipientis wAlbB	no rank
Wolbachia pipientis wBol1-b	no rank
Wolbachia pipientis wUni	no rank
Wolbachia pipientis wVitA	no rank
environmental samples	no rank
incompatibility symbionts	no rank
unclassified Wolbachieae	no rank
environmental samples	no rank
unclassified Anaplasmataceae	no rank
Candidatus Midichloriaceae	family
Candidatus Anadelfobacter	genus
Candidatus Cyrtobacter	genus
Candidatus Defluviella	genus
Candidatus Fokinia	genus
Candidatus Jidaibacter	genus
Candidatus Lariskella	genus
environmental samples	no rank
Candidatus Midichloria	genus
Candidatus Midichloria mitochondrii IricVA	no rank
environmental samples	no rank
Candidatus Nicolleia	genus
Rickettsiaceae	family
Candidatus Megaira	genus
Candidatus Phycorickettsia	genus
Rickettsieae	tribe
Candidatus Cryptoprodotis	genus
Candidatus Gigarickettsia	genus
Candidatus Hemipteriphilus	genus
Candidatus Trichorickettsia	genus
Occidentia	genus
Orientia	genus
Orientia chuto str. Dubai	no rank
Orientia tsutsugamushi str. Boryong	no rank
Orientia tsutsugamushi str. Gilliam	no rank
Orientia tsutsugamushi str. Ikeda	no rank
Orientia tsutsugamushi str. Karp	no rank
Orientia tsutsugamushi str. Kato PP	no rank
Orientia tsutsugamushi str. Sido	no rank
Orientia tsutsugamushi str. TA716	no rank
Orientia tsutsugamushi str. TA763	no rank
Orientia tsutsugamushi str. UT76	no rank
environmental samples	no rank
Rickettsia	genus
belli group	species group
Rickettsia bellii OSU 85-389	no rank
Rickettsia bellii RML369-C	no rank
Rickettsia bellii str. RML An4	no rank
Rickettsia bellii str. RML Mogi	no rank
Rickettsia canadensis str. CA410	no rank
Rickettsia canadensis str. McKiel	no rank
environmental samples	no rank
spotted fever group	species group
Rickettsia africae ESF-5	no rank
Rickettsia akari str. Hartford	no rank
Rickettsia amblyommatis str. Ac/Pa	no rank
Rickettsia amblyommatis str. Darkwater	no rank
Rickettsia amblyommatis str. GAT-30V	no rank
Rickettsia argasii T170-B	no rank
Rickettsia australis str. Cutlack	no rank
Rickettsia australis str. Phillips	no rank
Rickettsia conorii str. Malish 7	no rank
Rickettsia conorii subsp. caspia A-167	no rank
Rickettsia conorii subsp. indica ITTR	no rank
Rickettsia conorii subsp. israelensis ISTT CDC1	no rank
Rickettsia felis URRWXCal2	no rank
Rickettsia felis str. LSU	no rank
Rickettsia felis str. Pedreira	no rank
Rickettsia gravesii BWI-1	no rank
Rickettsia heilongjiangensis 054	no rank
Rickettsia helvetica C9P9	no rank
Rickettsia honei RB	no rank
Rickettsia hoogstraalii str. RCCE3	no rank
Rickettsia japonica YH	no rank
Rickettsia massiliae MTU5	no rank
Rickettsia massiliae str. AZT80	no rank
Rickettsia montanensis str. OSU 85-930	no rank
Rickettsia parkeri str. AT#24	no rank
Rickettsia parkeri str. Grand Bay	no rank
Rickettsia parkeri str. Portsmouth	no rank
Rickettsia parkeri str. Tate's Hell	no rank
Rickettsia peacockii str. Rustic	no rank
Rickettsia philipii str. 364D	no rank
Rickettsia rhipicephali str. 3-7-female6-CWPP	no rank
Rickettsia rhipicephali str. Ect	no rank
Rickettsia rickettsii str. 'Sheila Smith'	no rank
Rickettsia rickettsii str. Arizona	no rank
Rickettsia rickettsii str. Brazil	no rank
Rickettsia rickettsii str. Colombia	no rank
Rickettsia rickettsii str. Hauke	no rank
Rickettsia rickettsii str. Hino	no rank
Rickettsia rickettsii str. Hlp#2	no rank
Rickettsia rickettsii str. Iowa	no rank
Rickettsia rickettsii str. Morgan	no rank
Rickettsia rickettsii str. R	no rank
Rickettsia sibirica subgroup	species subgroup
Rickettsia sibirica 246	no rank
Rickettsia sibirica subsp. mongolitimonae HA-91	no rank
Rickettsia sibirica subsp. sibirica BJ-90	no rank
Rickettsia slovaca 13-B	no rank
Rickettsia slovaca str. D-CWPP	no rank
typhus group	species group
Rickettsia prowazekii str. Breinl	no rank
Rickettsia prowazekii str. BuV67-CWPP	no rank
Rickettsia prowazekii str. Cairo 3	no rank
Rickettsia prowazekii str. Chernikova	no rank
Rickettsia prowazekii str. Dachau	no rank
Rickettsia prowazekii str. GvF12	no rank
Rickettsia prowazekii str. GvV257	no rank
Rickettsia prowazekii str. Katsinyian	no rank
Rickettsia prowazekii str. NMRC Madrid E	no rank
Rickettsia prowazekii str. Rp22	no rank
Rickettsia prowazekii str. RpGvF24	no rank
Rickettsia typhi str. B9991CWPP	no rank
Rickettsia typhi str. TH1527	no rank
Rickettsia typhi str. Wilmington	no rank
unclassified Rickettsia	no rank
Rickettsia sp. MEAM1 (Bemisia tabaci)	no rank
environmental samples	no rank
unclassified Rickettsiaceae	no rank
Rickettsiales genera incertae sedis	no rank
Candidatus Hepatobacter	genus
Lyticum	genus
environmental samples	no rank
unclassified Rickettsiales	no rank
Candidatus Arcanobacter	genus
Candidatus Intestinusbacter	genus
Sinorickettsia	genus
unclassified Rickettsiales (miscellaneous)	no rank
Sneathiellales	order
Sneathiellaceae	family
Oceanibacterium	genus
Sneathiella	genus
Sneathiella glossodoripedis JCM 23214	no rank
environmental samples	no rank
unclassified Sneathiellaceae	no rank
Sphingomonadales	order
Erythrobacteraceae	family
Altererythrobacter	genus
environmental samples	no rank
Croceicoccus	genus
environmental samples	no rank
Erythrobacter	genus
Erythrobacter litoralis HTCC2594	no rank
environmental samples	no rank
Erythromicrobium	genus
environmental samples	no rank
Porphyrobacter	genus
Porphyrobacter cryptus DSM 12079	no rank
Porphyrobacter dokdonensis DSW-74	no rank
environmental samples	no rank
Qipengyuania	genus
environmental samples	no rank
unclassified Erythrobacteraceae	no rank
Sphingomonadaceae	family
Blastomonas	genus
Citrimicrobium	genus
Citromicrobium	genus
Citromicrobium bathyomarinum JL354	no rank
Hankyongella	genus
Hephaestia	genus
Lutibacterium	genus
environmental samples	no rank
Novosphingobium	genus
Novosphingobium acidiphilum DSM 19966	no rank
Novosphingobium aromaticivorans DSM 12444	no rank
Novosphingobium barchaimii LL02	no rank
Novosphingobium lentum NBRC 107847	no rank
Novosphingobium lindaniclasticum LE124	no rank
Novosphingobium naphthalenivorans NBRC 102051	no rank
Novosphingobium nitrogenifigens DSM 19370	no rank
Novosphingobium pentaromativorans US6-1	no rank
Novosphingobium rosa NBRC 15208	no rank
Novosphingobium subterraneum NBRC 16086	no rank
Novosphingobium tardaugens NBRC 16725	no rank
environmental samples	no rank
Pacificimonas	genus
Parablastomonas	genus
Parasphingopyxis	genus
Polymorphobacter	genus
Rhizorhabdus	genus
Rhizorhapis	genus
Rhizorhapis suberifaciens NBRC 15211	no rank
Sandaracinobacter	genus
environmental samples	no rank
Sandarakinorhabdus	genus
Sandarakinorhabdus limnophila DSM 17366	no rank
environmental samples	no rank
Sphingoaurantiacus	genus
Sphingobium	genus
Sphingobium amiense NBRC 102518	no rank
Sphingobium baderi LL03	no rank
Sphingobium chinhatense IP26	no rank
Sphingobium chlorophenolicum L-1	no rank
Sphingobium chlorophenolicum NBRC 16172	no rank
Sphingobium cloacae NBRC 102517	no rank
Sphingobium czechense LL01	no rank
Sphingobium herbicidovorans NBRC 16415	no rank
Sphingobium indicum B90A	no rank
Sphingobium japonicum BiD32	no rank
Sphingobium japonicum UT26S	no rank
Sphingobium lactosutens DS20	no rank
Sphingobium lucknowense F2	no rank
Sphingobium quisquiliarum P25	no rank
Sphingobium ummariense RL-3	no rank
Sphingobium xenophagum NBRC 107872	no rank
Sphingobium xenophagum QYY	no rank
Sphingobium yanoikuyae ATCC 51230	no rank
Sphingobium yanoikuyae XLDN2-5	no rank
environmental samples	no rank
Sphingomicrobium	genus
Sphingomonas	genus
Sphingomonas asaccharolytica NBRC 15499	no rank
Sphingomonas astaxanthinifaciens DSM 22298	no rank
Sphingomonas azotifigens NBRC 15497	no rank
Sphingomonas changbaiensis NBRC 104936	no rank
Sphingomonas echinoides ATCC 14820	no rank
Sphingomonas elodea ATCC 31461	no rank
Sphingomonas jaspsi DSM 18422	no rank
Sphingomonas koreensis NBRC 16723	no rank
Sphingomonas mali NBRC 15500	no rank
Sphingomonas melonis C3	no rank
Sphingomonas melonis DAPP-PG 224	no rank
Sphingomonas melonis FR1	no rank
Sphingomonas melonis TY	no rank
Sphingomonas parapaucimobilis NBRC 15100	no rank
Sphingomonas paucimobilis NBRC 13935	no rank
Sphingomonas phyllosphaerae 5.2	no rank
Sphingomonas phyllosphaerae FA2	no rank
Sphingomonas pruni NBRC 15498	no rank
Sphingomonas sanguinis NBRC 13937	no rank
Sphingomonas sanxanigenens DSM 19645 = NX02	no rank
Sphingomonas soli NBRC 100801	no rank
Sphingomonas wittichii DC-6	no rank
Sphingomonas wittichii DP58	no rank
Sphingomonas wittichii RW1	no rank
environmental samples	no rank
unclassified Sphingomonas	no rank
Sphingopyxis	genus
Sphingopyxis alaskensis RB2256	no rank
Sphingopyxis baekryungensis DSM 16222	no rank
Sphingopyxis granuli NBRC 100800	no rank
Sphingopyxis terrae subsp. terrae NBRC 15098	no rank
environmental samples	no rank
Sphingorhabdus	genus
Sphingorhabdus marina DSM 22363	no rank
Sphingosinicella	genus
environmental samples	no rank
Stakelama	genus
environmental samples	no rank
Zymomonas	genus
Zymomonas mobilis subsp. mobilis ATCC 10988	no rank
Zymomonas mobilis subsp. mobilis ATCC 29191	no rank
Zymomonas mobilis subsp. mobilis ATCC 31822	no rank
Zymomonas mobilis subsp. mobilis NCIMB 11163	no rank
Zymomonas mobilis subsp. mobilis NRRL B-12526	no rank
Zymomonas mobilis subsp. mobilis ZM4 = ATCC 31821	no rank
Zymomonas mobilis subsp. mobilis str. CP4 = NRRL B-14023	no rank
Zymomonas mobilis subsp. pomaceae ATCC 29192	no rank
environmental samples	no rank
environmental samples	no rank
unclassified Sphingomonadaceae	no rank
unclassified Sphingomonadaceae (miscellaneous)	no rank
environmental samples	no rank
unclassified Sphingomonadales	no rank
environmental samples	no rank
unclassified Alphaproteobacteria	no rank
Candidatus Phycosocius	genus
Micavibrio	genus
Micavibrio aeruginosavorus ARL-13	no rank
Micavibrio aeruginosavorus EPB	no rank
environmental samples	no rank
OCS116 cluster	no rank
environmental samples	no rank
PS1 clade	no rank
Candidatus Micropelagos	genus
Phreatobacter	genus
Polymorphum	genus
Polymorphum gilvum SL003B-26A1	no rank
SAR116 cluster	no rank
Candidatus Puniceispirillum	genus
Candidatus Puniceispirillum marinum IMCC1322	no rank
environmental samples	no rank
unclassified SAR116 cluster	no rank
Subaequorebacter	genus
Thermopetrobacter	genus
unclassified Alphaproteobacteria (miscellaneous)	no rank
Betaproteobacteria	class
Burkholderiales	order
Alcaligenaceae	family
Achromobacter	genus
Achromobacter arsenitoxydans SY8	no rank
Achromobacter insuavis AXX-A	no rank
Achromobacter piechaudii ATCC 43553	no rank
Achromobacter piechaudii HLE	no rank
Achromobacter piechaudii NBRC 102461	no rank
Achromobacter xylosoxidans A8	no rank
Achromobacter xylosoxidans C54	no rank
Achromobacter xylosoxidans JCM 9787	no rank
Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	no rank
Achromobacter xylosoxidans NH44784-1996	no rank
environmental samples	no rank
Advenella	genus
Advenella kashmirensis W13003	no rank
Advenella kashmirensis WT001	no rank
Advenella mimigardefordensis DPN7	no rank
environmental samples	no rank
Alcaligenes	genus
Alcaligenes faecalis subsp. faecalis NBRC 13111	no rank
Alcaligenes faecalis subsp. faecalis NCIB 8687	no rank
Alcaligenes faecalis subsp. phenolicus DSM 16503	no rank
environmental samples	no rank
Ampullimonas	genus
Azohydromonas	genus
Azohydromonas australica DSM 1124	no rank
Basilea	genus
Basilea psittacipulmonis DSM 24701	no rank
Bordetella	genus
Bordetella avium 197N	no rank
Bordetella bronchiseptica 00-P-2796	no rank
Bordetella bronchiseptica 1289	no rank
Bordetella bronchiseptica 253	no rank
Bordetella bronchiseptica 980	no rank
Bordetella bronchiseptica A1-7	no rank
Bordetella bronchiseptica Bbr77	no rank
Bordetella bronchiseptica CA90 BB02	no rank
Bordetella bronchiseptica CA90 BB1334	no rank
Bordetella bronchiseptica D989	no rank
Bordetella bronchiseptica D993	no rank
Bordetella bronchiseptica E010	no rank
Bordetella bronchiseptica E013	no rank
Bordetella bronchiseptica F-1	no rank
Bordetella bronchiseptica KM22	no rank
Bordetella bronchiseptica MBORD632	no rank
Bordetella bronchiseptica MBORD707	no rank
Bordetella bronchiseptica MBORD839	no rank
Bordetella bronchiseptica MO149	no rank
Bordetella bronchiseptica MO211	no rank
Bordetella bronchiseptica MO275	no rank
Bordetella bronchiseptica OSU095	no rank
Bordetella bronchiseptica OSU553	no rank
Bordetella bronchiseptica RB630	no rank
Bordetella bronchiseptica SO10328	no rank
Bordetella hinzii 1277	no rank
Bordetella hinzii 4161	no rank
Bordetella hinzii ATCC 51730	no rank
Bordetella hinzii CA90 BAL1384	no rank
Bordetella hinzii L60	no rank
Bordetella hinzii LMG 13501	no rank
Bordetella hinzii OH87 BAL007II	no rank
Bordetella holmesii 04P3421	no rank
Bordetella holmesii 1058	no rank
Bordetella holmesii 30539	no rank
Bordetella holmesii 35009	no rank
Bordetella holmesii 41130	no rank
Bordetella holmesii 44057	no rank
Bordetella holmesii 70147	no rank
Bordetella holmesii ATCC 51541	no rank
Bordetella holmesii CDC-H572-BH	no rank
Bordetella holmesii CDC-H585-BH	no rank
Bordetella holmesii CDC-H629-BH	no rank
Bordetella holmesii CDC-H635-BH	no rank
Bordetella holmesii CDC-H643-BH	no rank
Bordetella holmesii CDC-H719-BH	no rank
Bordetella holmesii CDC-H785-BH	no rank
Bordetella holmesii CDC-H809-BH	no rank
Bordetella holmesii F627	no rank
Bordetella holmesii H558	no rank
Bordetella holmesii H620	no rank
Bordetella parapertussis Bpp5	no rank
Bordetella pertussis 137	no rank
Bordetella pertussis 18323	no rank
Bordetella pertussis 2356847	no rank
Bordetella pertussis 2371640	no rank
Bordetella pertussis B0558	no rank
Bordetella pertussis B1193	no rank
Bordetella pertussis B1831	no rank
Bordetella pertussis B1834	no rank
Bordetella pertussis B1917	no rank
Bordetella pertussis B1920	no rank
Bordetella pertussis B200	no rank
Bordetella pertussis CHLA-15	no rank
Bordetella pertussis CHLA-20	no rank
Bordetella pertussis CS	no rank
Bordetella pertussis H918	no rank
Bordetella pertussis H921	no rank
Bordetella pertussis H934	no rank
Bordetella pertussis H939	no rank
Bordetella pertussis I002	no rank
Bordetella pertussis I036	no rank
Bordetella pertussis I176	no rank
Bordetella pertussis NBRC 107857	no rank
Bordetella pertussis STO1-CHLA-0011	no rank
Bordetella pertussis STO1-CHOC-0008	no rank
Bordetella pertussis STO1-CHOC-0017	no rank
Bordetella pertussis STO1-CHOC-0018	no rank
Bordetella pertussis STO1-CHOC-0019	no rank
Bordetella pertussis STO1-CHOM-0012	no rank
Bordetella pertussis STO1-CNMC-0004	no rank
Bordetella pertussis STO1-SEAT-0004	no rank
Bordetella pertussis STO1-SEAT-0007	no rank
Bordetella petrii J49	no rank
Bordetella petrii J51	no rank
environmental samples	no rank
Brackiella	genus
Brackiella oedipodis DSM 13743	no rank
Caenimicrobium	genus
Candidimonas	genus
Castellaniella	genus
Castellaniella caeni NBRC 101664	no rank
Castellaniella defragrans 65Phen	no rank
environmental samples	no rank
Derxia	genus
environmental samples	no rank
Eoetvoesia	genus
Kerstersia	genus
environmental samples	no rank
Oligella	genus
Oligella ureolytica DSM 18253	no rank
Oligella urethralis DNF00040	no rank
environmental samples	no rank
Orrella	genus
Paenalcaligenes	genus
Paracandidimonas	genus
Paralcaligenes	genus
Parapusillimonas	genus
Parvibium	genus
Pelistega	genus
Pigmentiphaga	genus
environmental samples	no rank
Pusillimonas	genus
Pusillimonas noertemannii BS8	no rank
environmental samples	no rank
Saccharedens	genus
Taylorella	genus
Taylorella asinigenitalis 14/45	no rank
Taylorella asinigenitalis ATCC 700933	no rank
Taylorella asinigenitalis MCE3	no rank
Taylorella equigenitalis 14/56	no rank
Taylorella equigenitalis ATCC 35865	no rank
Taylorella equigenitalis MCE9	no rank
Verticiella	genus
environmental samples	no rank
unclassified Alcaligenaceae	no rank
Burkholderiaceae	family
Burkholderia	genus
Burkholderia cepacia complex	species group
Burkholderia ambifaria AMMD	no rank
Burkholderia ambifaria IOP40-10	no rank
Burkholderia ambifaria MC40-6	no rank
Burkholderia cenocepacia AU 1054	no rank
Burkholderia cenocepacia BC7	no rank
Burkholderia cenocepacia D2AES	no rank
Burkholderia cenocepacia H111	no rank
Burkholderia cenocepacia HI2424	no rank
Burkholderia cenocepacia J2315	no rank
Burkholderia cenocepacia K56-2Valvano	no rank
Burkholderia cenocepacia KC-01	no rank
Burkholderia cenocepacia MC0-3	no rank
Burkholderia cenocepacia PT15	no rank
Burkholderia cenocepacia S2AES	no rank
Burkholderia cepacia ATCC 25416	no rank
Burkholderia cepacia Bu72	no rank
Burkholderia cepacia GG4	no rank
Burkholderia cepacia JBK9	no rank
Burkholderia contaminans FFH2055	no rank
Burkholderia contaminans LMG 23361	no rank
Burkholderia dolosa AU0158	no rank
Burkholderia multivorans ATCC 17616	no rank
Burkholderia multivorans ATCC BAA-247	no rank
Burkholderia multivorans CF2	no rank
Burkholderia multivorans CGD1	no rank
Burkholderia multivorans CGD2	no rank
Burkholderia multivorans CGD2M	no rank
Burkholderia multivorans R-20526	no rank
Burkholderia pyrrocinia CH-67	no rank
Burkholderia seminalis DSM 23518	no rank
Burkholderia ubonensis Bu	no rank
Burkholderia ubonensis MSMB22	no rank
Burkholderia vietnamiensis G4	no rank
Burkholderia vietnamiensis LMG 10929	no rank
Burkholderia gladioli 3848s-5	no rank
Burkholderia gladioli BSR3	no rank
Burkholderia gladioli NBRC 13700	no rank
Burkholderia gladioli pv. agaricicola	no rank
Burkholderia gladioli pv. alliicola	no rank
Burkholderia gladioli pv. gladioli	no rank
Burkholderia glumae 3252-8	no rank
Burkholderia glumae BGR1	no rank
Burkholderia glumae LMG 2196 = ATCC 33617	no rank
environmental samples	no rank
pseudomallei group	species group
Burkholderia mallei 2000031281	no rank
Burkholderia mallei 2002721280	no rank
Burkholderia mallei A188	no rank
Burkholderia mallei A193	no rank
Burkholderia mallei ATCC 10399	no rank
Burkholderia mallei ATCC 23344	no rank
Burkholderia mallei China_7	no rank
Burkholderia mallei FMH	no rank
Burkholderia mallei GB8 horse 4	no rank
Burkholderia mallei JHU	no rank
Burkholderia mallei NCTC 10229	no rank
Burkholderia mallei NCTC 10247	no rank
Burkholderia mallei PRL-20	no rank
Burkholderia mallei SAVP1	no rank
Burkholderia mallei strain_11	no rank
Burkholderia mallei strain_6	no rank
Burkholderia oklahomensis C6786	no rank
Burkholderia oklahomensis EO147	no rank
Burkholderia pseudomallei (Ara+ biotype)	no rank
Burkholderia pseudomallei 1026b	no rank
Burkholderia pseudomallei 1106a	no rank
Burkholderia pseudomallei 1106b	no rank
Burkholderia pseudomallei 112	no rank
Burkholderia pseudomallei 1258a	no rank
Burkholderia pseudomallei 1258b	no rank
Burkholderia pseudomallei 14	no rank
Burkholderia pseudomallei 1655	no rank
Burkholderia pseudomallei 1710a	no rank
Burkholderia pseudomallei 1710b	no rank
Burkholderia pseudomallei 305	no rank
Burkholderia pseudomallei 354a	no rank
Burkholderia pseudomallei 406e	no rank
Burkholderia pseudomallei 4900CFPatient1	no rank
Burkholderia pseudomallei 576	no rank
Burkholderia pseudomallei 668	no rank
Burkholderia pseudomallei 7894	no rank
Burkholderia pseudomallei 91	no rank
Burkholderia pseudomallei 9	no rank
Burkholderia pseudomallei A79A	no rank
Burkholderia pseudomallei A79C	no rank
Burkholderia pseudomallei A79D	no rank
Burkholderia pseudomallei ABCPW 107	no rank
Burkholderia pseudomallei ABCPW 1	no rank
Burkholderia pseudomallei ABCPW 30	no rank
Burkholderia pseudomallei ABCPW 91	no rank
Burkholderia pseudomallei B03	no rank
Burkholderia pseudomallei B7210	no rank
Burkholderia pseudomallei BCC215	no rank
Burkholderia pseudomallei BDU 2	no rank
Burkholderia pseudomallei BPC006	no rank
Burkholderia pseudomallei Bp22	no rank
Burkholderia pseudomallei CB	no rank
Burkholderia pseudomallei CMS	no rank
Burkholderia pseudomallei CS	no rank
Burkholderia pseudomallei DM98	no rank
Burkholderia pseudomallei Gu1909a	no rank
Burkholderia pseudomallei HBPUB10134a	no rank
Burkholderia pseudomallei HBPUB10303a	no rank
Burkholderia pseudomallei K42	no rank
Burkholderia pseudomallei K96243	no rank
Burkholderia pseudomallei LMF	no rank
Burkholderia pseudomallei MSHR1000	no rank
Burkholderia pseudomallei MSHR1029	no rank
Burkholderia pseudomallei MSHR1043	no rank
Burkholderia pseudomallei MSHR1079	no rank
Burkholderia pseudomallei MSHR1153	no rank
Burkholderia pseudomallei MSHR1328	no rank
Burkholderia pseudomallei MSHR1357	no rank
Burkholderia pseudomallei MSHR146	no rank
Burkholderia pseudomallei MSHR1950	no rank
Burkholderia pseudomallei MSHR2138	no rank
Burkholderia pseudomallei MSHR2243	no rank
Burkholderia pseudomallei MSHR2451	no rank
Burkholderia pseudomallei MSHR2543	no rank
Burkholderia pseudomallei MSHR2990	no rank
Burkholderia pseudomallei MSHR3016	no rank
Burkholderia pseudomallei MSHR303	no rank
Burkholderia pseudomallei MSHR305	no rank
Burkholderia pseudomallei MSHR332	no rank
Burkholderia pseudomallei MSHR3335	no rank
Burkholderia pseudomallei MSHR338	no rank
Burkholderia pseudomallei MSHR3458	no rank
Burkholderia pseudomallei MSHR346	no rank
Burkholderia pseudomallei MSHR3709	no rank
Burkholderia pseudomallei MSHR3951	no rank
Burkholderia pseudomallei MSHR3960	no rank
Burkholderia pseudomallei MSHR3964	no rank
Burkholderia pseudomallei MSHR3965	no rank
Burkholderia pseudomallei MSHR4000	no rank
Burkholderia pseudomallei MSHR4003	no rank
Burkholderia pseudomallei MSHR4012	no rank
Burkholderia pseudomallei MSHR4032	no rank
Burkholderia pseudomallei MSHR4299	no rank
Burkholderia pseudomallei MSHR4300	no rank
Burkholderia pseudomallei MSHR4303	no rank
Burkholderia pseudomallei MSHR4304	no rank
Burkholderia pseudomallei MSHR4308	no rank
Burkholderia pseudomallei MSHR435	no rank
Burkholderia pseudomallei MSHR4372	no rank
Burkholderia pseudomallei MSHR4375	no rank
Burkholderia pseudomallei MSHR4377	no rank
Burkholderia pseudomallei MSHR4378	no rank
Burkholderia pseudomallei MSHR4462	no rank
Burkholderia pseudomallei MSHR449	no rank
Burkholderia pseudomallei MSHR4503	no rank
Burkholderia pseudomallei MSHR456	no rank
Burkholderia pseudomallei MSHR465J	no rank
Burkholderia pseudomallei MSHR465a	no rank
Burkholderia pseudomallei MSHR4868	no rank
Burkholderia pseudomallei MSHR491	no rank
Burkholderia pseudomallei MSHR511	no rank
Burkholderia pseudomallei MSHR520	no rank
Burkholderia pseudomallei MSHR543	no rank
Burkholderia pseudomallei MSHR5492	no rank
Burkholderia pseudomallei MSHR5569	no rank
Burkholderia pseudomallei MSHR5596	no rank
Burkholderia pseudomallei MSHR5608	no rank
Burkholderia pseudomallei MSHR5609	no rank
Burkholderia pseudomallei MSHR5613	no rank
Burkholderia pseudomallei MSHR5848	no rank
Burkholderia pseudomallei MSHR5855	no rank
Burkholderia pseudomallei MSHR5858	no rank
Burkholderia pseudomallei MSHR62	no rank
Burkholderia pseudomallei MSHR640	no rank
Burkholderia pseudomallei MSHR684	no rank
Burkholderia pseudomallei MSHR7334	no rank
Burkholderia pseudomallei MSHR733	no rank
Burkholderia pseudomallei MSHR7343	no rank
Burkholderia pseudomallei MSHR7498	no rank
Burkholderia pseudomallei MSHR7500	no rank
Burkholderia pseudomallei MSHR7504	no rank
Burkholderia pseudomallei MSHR7527	no rank
Burkholderia pseudomallei MSHR840	no rank
Burkholderia pseudomallei MSHR983	no rank
Burkholderia pseudomallei NAU14B6	no rank
Burkholderia pseudomallei NAU20B-16	no rank
Burkholderia pseudomallei NAU20B16	no rank
Burkholderia pseudomallei NAU24B3	no rank
Burkholderia pseudomallei NAU35A-3	no rank
Burkholderia pseudomallei NAU44A6	no rank
Burkholderia pseudomallei NCTC 13177	no rank
Burkholderia pseudomallei NCTC 13178	no rank
Burkholderia pseudomallei NCTC 13179	no rank
Burkholderia pseudomallei NCTC 13392	no rank
Burkholderia pseudomallei str. NCTC 13392 substr. morphotype_10	no rank
Burkholderia pseudomallei NRF80Bp1	no rank
Burkholderia pseudomallei OB	no rank
Burkholderia pseudomallei OS	no rank
Burkholderia pseudomallei PB08298010	no rank
Burkholderia pseudomallei PHLS9	no rank
Burkholderia pseudomallei Pakistan 9	no rank
Burkholderia pseudomallei Pasteur 52237	no rank
Burkholderia pseudomallei RF43Bp22	no rank
Burkholderia pseudomallei RF85Bp37	no rank
Burkholderia pseudomallei RNS3Bp1	no rank
Burkholderia pseudomallei RNS7Bp6	no rank
Burkholderia pseudomallei S13	no rank
Burkholderia pseudomallei Songkhla34W2	no rank
Burkholderia pseudomallei THE	no rank
Burkholderia pseudomallei TSV 25	no rank
Burkholderia pseudomallei TSV 31	no rank
Burkholderia pseudomallei TSV 43	no rank
