	taxonomy	organism_name
3318	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Silvimonas	Silvimonas amylolytica
3319	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Silvimonas	Silvimonas terrae
3320	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Silvimonas	Silvimonas iriomotensis
3321	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Amantichitinum	Amantichitinum ursilacus
3322	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chitinilyticum	Chitinilyticum piscinae
3323	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chitinilyticum	Chitinilyticum litopenaei
3324	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Chitinilyticum	Chitinilyticum aquatile
3325	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Iodobacter	Iodobacter limnosediminis
3326	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Iodobacter	Iodobacter ciconiae
3327	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Iodobacter	Iodobacter arcticus
3328	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Iodobacter	Iodobacter fluviatilis
3329	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas	Chitinimonas arctica
3330	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas	Chitinimonas naiadis
3331	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas	Chitinimonas taiwanensis
3332	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas	Chitinimonas prasina
3333	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas	Chitinimonas viridis
3334	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas	Chitinimonas koreensis
3335	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiaceae;Chitinimonas	Chitinimonas lacunae
3336	Bacteria;Pseudomonadota;Betaproteobacteria;Betaproteobacteria_incertae_sedis;Betaproteobacteria_incertae_sedis;Chitinivorax	Chitinivorax tropicus
3337	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Leeia	Leeia aquatica
3338	Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Chromobacteriaceae;Leeia	Leeia oryzae
3339	Bacteria;Pseudomonadota;Betaproteobacteria;Burkholderiales;Burkholderiales_incertae_sedis;Thiobacter	Thiobacter subterraneus
3340	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Sulfuritortus	Sulfuritortus calidifontis
3341	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Parasulfuritortus	Parasulfuritortus cantonensis
3342	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Annwoodia	Annwoodia aquaesulis
3343	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Thiobacillus	Thiobacillus denitrificans
3344	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Thiobacillus	Thiobacillus thioparus
3345	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Thiobacillaceae;Thiobacillus	Thiobacillus thiophilus
3346	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	Methylobacillus arboreus
3347	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	Methylobacillus flagellatus
3348	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	Methylobacillus methanolivorans
3349	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	Methylobacillus pratensis
3350	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	Methylobacillus glycogenes
3351	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	Methylobacillus caricis
3352	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	Methylobacillus gramineus
3353	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylobacillus	Methylobacillus rhizosphaerae
3354	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylovorus	Methylovorus mays
3355	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylovorus	Methylovorus menthalis
3356	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylovorus	Methylovorus glucosotrophus
3357	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Pseudomethylobacillus	Pseudomethylobacillus aquaticus
3358	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	Methylophilus quaylei
3359	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	Methylophilus rhizosphaerae
3360	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	Methylophilus methylotrophus
3361	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	Methylophilus glucosoxydans
3362	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	Methylophilus luteus
3363	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	Methylophilus aquaticus
3364	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	Methylophilus leisingeri
3365	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylophilus	Methylophilus flavus
3366	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera	Methylotenera mobilis
3367	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera	Methylotenera oryzisoli
3368	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Methylotenera	Methylotenera versatilis
3369	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Methylophilaceae;Novimethylophilus	Novimethylophilus kurashikiensis
3370	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuriferula	Sulfuriferula multivorans
3371	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuriferula	Sulfuriferula nivalis
3372	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuriferula	Sulfuriferula plumbiphila
3373	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfurirhabdus	Sulfurirhabdus autotrophica
3374	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuricella	Sulfuricella denitrificans
3375	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfurimicrobium	Sulfurimicrobium lacus
3376	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sulfuricellaceae;Sulfuriferula	Sulfuriferula thiophila
3377	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas aestuarii
3378	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas marina
3379	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas oligotropha
3380	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas ureae
3381	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas communis
3382	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas nitrosa
3383	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas halophila
3384	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas stercoris
3385	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas europaea
3386	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosomonas	Nitrosomonas eutropha
3387	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira	Nitrosospira multiformis
3388	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira	Nitrosospira tenuis
3389	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Nitrosomonadaceae;Nitrosospira	Nitrosospira lacus
3390	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Ferrigenium	Ferrigenium kumadai
3391	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Gallionellaceae;Ferriphaselus	Ferriphaselus amnicola
3392	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Spirillaceae;Spirillum	Spirillum volutans
3393	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Spirillaceae;Spirillum	Spirillum winogradskyi
3394	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Georgfuchsia	Georgfuchsia toluolica
3395	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sulfurisoma	Sulfurisoma sediminicola
3396	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rugosibacter	Rugosibacter aromaticivorans
3397	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sulfuritalea	Sulfuritalea hydrogenivorans
3398	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Methyloversatilis	Methyloversatilis discipulorum
3399	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Methyloversatilis	Methyloversatilis thermotolerans
3400	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Methyloversatilis	Methyloversatilis universalis
3401	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Sterolibacterium	Sterolibacterium denitrificans
3402	Bacteria;Pseudomonadota;Betaproteobacteria;Nitrosomonadales;Sterolibacteriaceae;Denitratisoma	Denitratisoma oestradiolicum
3403	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas	Dechloromonas denitrificans
3404	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas	Dechloromonas hortensis
3405	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Ferribacterium	Ferribacterium limneticum
3406	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Quatrionicoccus	Quatrionicoccus australiensis
3407	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Dechloromonas	Dechloromonas agitata
3408	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Azonexus	Azonexus caeni
3409	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Azonexus	Azonexus hydrophilus
3410	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Azonexaceae;Azonexus	Azonexus fungiphilus
3411	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azovibrio	Azovibrio restrictus
3412	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Fluviibacteraceae;Fluviibacter	Fluviibacter phosphoraccumulans
3413	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rhodocyclus	Rhodocyclus purpureus
3414	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Rhodocyclus	Rhodocyclus tenuis
3415	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Oryzomicrobium	Oryzomicrobium terrae
3416	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio	Propionivibrio dicarboxylicus
3417	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio	Propionivibrio pelophilus
3418	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Propionivibrio	Propionivibrio limicola
3419	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira	Azospira oryzae
3420	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Azospira	Azospira restricta
3421	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	Zoogloea resiniphila
3422	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	Zoogloea dura
3423	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	Zoogloea caeni
3424	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	Zoogloea oryzae
3425	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	Zoogloea ramigera
3426	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Zoogloea	Zoogloea oleivorans
3427	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Uliginosibacterium	Uliginosibacterium gangwonense
3428	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Uliginosibacterium	Uliginosibacterium paludis
3429	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Uliginosibacterium	Uliginosibacterium sediminicola
3430	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Niveibacterium	Niveibacterium microcysteis
3431	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Rhodocyclaceae;Niveibacterium	Niveibacterium umoris
3432	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera chlorobenzoica
3433	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera mechernichensis
3434	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera aromatica
3435	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera selenatis
3436	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera aminoaromatica
3437	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera phenylacetica
3438	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera propionica
3439	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera butanivorans
3440	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera linaloolentis
3441	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera sinica
3442	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera humireducens
3443	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Thauera	Thauera terpenica
3444	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera	Pseudothauera rhizosphaerae
3445	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera	Pseudothauera hydrothermalis
3446	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera	Pseudothauera nasutitermitis
3447	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudothauera	Pseudothauera lacus
3448	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Pseudazoarcus	Pseudazoarcus pumilus
3449	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum evansii
3450	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum toluvorans
3451	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum petrolei
3452	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum toluolicum
3453	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum toluclasticum
3454	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum tolulyticum
3455	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum diolicum
3456	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum aromaticum
3457	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum buckelii
3458	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum anaerobium
3459	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Aromatoleum	Aromatoleum bremense
3460	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus	Azoarcus indigens
3461	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus	Azoarcus olearius
3462	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Azoarcus	Azoarcus communis
3463	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Nitrogeniibacter	Nitrogeniibacter mangrovi
3464	Bacteria;Pseudomonadota;Betaproteobacteria;Rhodocyclales;Zoogloeaceae;Cognatazoarcus	Cognatazoarcus halotolerans
3465	Bacteria;Pseudomonadota;Hydrogenophilalia;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus	Hydrogenophilus hirschii
3466	Bacteria;Pseudomonadota;Hydrogenophilalia;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus	Hydrogenophilus thermoluteolus
3467	Bacteria;Pseudomonadota;Hydrogenophilalia;Hydrogenophilales;Hydrogenophilaceae;Hydrogenophilus	Hydrogenophilus islandicus
3468	Bacteria;Pseudomonadota;Hydrogenophilalia;Hydrogenophilalia_incertae_sedis;Hydrogenophilalia_incertae_sedis;Pelomicrobium	Pelomicrobium methylotrophicum
3469	Bacteria;Pseudomonadota;Hydrogenophilalia;Hydrogenophilales;Hydrogenophilaceae;Tepidiphilus	Tepidiphilus succinatimandens
3470	Bacteria;Pseudomonadota;Hydrogenophilalia;Hydrogenophilales;Hydrogenophilaceae;Tepidiphilus	Tepidiphilus thermophilus
3471	Bacteria;Pseudomonadota;Hydrogenophilalia;Hydrogenophilales;Hydrogenophilaceae;Tepidiphilus	Tepidiphilus olei
3472	Bacteria;Pseudomonadota;Hydrogenophilalia;Hydrogenophilales;Hydrogenophilaceae;Tepidiphilus	Tepidiphilus margaritifer
3473	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas euvesicatoria
3474	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas perforans
3475	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas alfalfae subsp. citrumelonis
3476	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas alfalfae subsp. alfalfae
3477	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas vasicola
3478	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas citri subsp. malvacearum
3479	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas phaseoli
3480	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas citri subsp. citri
3481	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas cissicola
3482	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas floridensis
3483	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas codiaei
3484	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas prunicola
3485	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas fragariae
3486	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas arboricola
3487	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas hortorum
3488	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas oryzae
3489	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas bromi
3490	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas cassavae
3491	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas pisi
3492	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas dyei
3493	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas nasturtii
3494	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas campestris
3495	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas cynarae
3496	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas vesicatoria
3497	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas populi
3498	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas cucurbitae
3499	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas theicola
3500	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas axonopodis
3501	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas euroxanthea
3502	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Xanthomonas	Xanthomonas maliensis
3503	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas nitritireducens
3504	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas terrae
3505	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas pictorum
3506	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas humi
3507	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas acidaminiphila
3508	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas daejeonensis
3509	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas ginsengisoli
3510	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas koreensis
3511	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas maltophilia
3512	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas pavanii
3513	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas geniculata
3514	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas indicatrix
3515	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas lactitubi
3516	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas chelatiphaga
3517	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas tumulicola
3518	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas rhizophila
3519	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Stenotrophomonas	Stenotrophomonas bentonitica
3520	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoxanthomonas	Pseudoxanthomonas yeongjuensis
3521	Bacteria;Pseudomonadota;Gammaproteobacteria;Lysobacterales;Lysobacteraceae;Pseudoxanthomonas	Pseudoxanthomonas gei
