primaryAccession	start	stop	path	organism_name	taxid
CP001633	1768098	1770959	"Bacteria;Proteobacteria;Gammaproteobacteria;Francisellales;Francisellaceae;Francisella;"	Francisella tularensis subsp. tularensis NE061598	16910
CP001635	5075482	5078352	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Comamonadaceae;Variovorax;"	Variovorax paradoxus S110	27963
CP001637	4567863	4570764	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;"	Escherichia coli DH1	28078
CP001638	2875444	2878376	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Parageobacillus;"	Geobacillus sp. WCH70	16076
CP001643	2429962	2433035	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermabacteraceae;Brachybacterium;"	Brachybacterium faecium DSM 4810	26259
CP001645	1280348	1283224	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Burkholderiaceae;Ralstonia;"	Ralstonia pickettii 12D	27903
CP001649	3730938	3733871	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfovibrionaceae;Desulfovibrio;"	Desulfovibrio salexigens DSM 2638	27167
CP001650	3894924	3897745	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Zunongwangia;"	Zunongwangia profunda SM-A87	26725
CP001654	1004837	1007743	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Dickeya;"	Dickeya paradisiaca Ech703	28155
CP001655	402107	405014	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Dickeya;"	Dickeya chrysanthemi Ech1591	28155
CP001656	6541506	6544436	"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;"	Paenibacillus sp. JDR-2	27362
CP001657	4785745	4788650	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium;"	Pectobacterium carotovorum subsp. carotovorum PC1	28157
CP001658	2935552	2938687	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;"	Mycobacterium tuberculosis KZN 1435	26203
CP001661	3994131	3997084	"Bacteria;Desulfobacterota;Desulfuromonadia;Geobacterales;Geobacteraceae;Geobacter;"	Geobacter sp. M21	27187
CP001662	2932226	2935361	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;"	Mycobacterium tuberculosis KZN 4207	26203
CP001664	1478720	1481855	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Mycobacteriaceae;Mycobacterium;"	Mycobacterium tuberculosis str. Haarlem	26203
CP001665	4506963	4509866	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;"	Escherichia coli 'BL21-Gold(DE3)pLysS AG'	28078
CP001666	4481562	4484212	"Bacteria;Firmicutes;Clostridia;Clostridiales;Clostridiaceae;Clostridium;"	Clostridium ljungdahlii DSM 13528	896
CP001668	645745	648639	"Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;"	Insertion vector pmyCYACTn	27357
CP001669	2594487	2597773	"Eukaryota;SAR;Alveolata;Apicomplexa;Aconoidasida;Piroplasmorida;Theileria;"	Theileria equi strain WA	11931
CP001671	4609989	4612892	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;"	Escherichia coli ABU 83972	28078
CP001672	693407	696297	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylotenera;"	Methylotenera mobilis JLW8	27987
CP001673	2233174	2235779	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Weeksellaceae;Chryseobacterium;"	Flavobacteriaceae bacterium 3519-10	26737
CP001674	668343	671221	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Methylophilaceae;Methylovorus;"	Methylovorus glucosetrophus SIP3-4	27988
CP001677	856972	859181	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Candidatus Liberibacter;"	Candidatus Liberibacter asiaticus str. psy62	16468
CP001678	2333249	2336018	"Bacteria;Proteobacteria;Alphaproteobacteria;Caulobacterales;Hyphomonadaceae;Hirschia;"	Hirschia baltica ATCC 49814	1092
CP001680	1356227	1359112	"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;"	Helicobacter pylori 52	26847
CP001681	4302587	4305464	"Bacteria;Bacteroidota;Bacteroidia;Sphingobacteriales;Sphingobacteriaceae;Pedobacter;"	Pedobacter heparinus DSM 2366	26758
CP001682	1026757	1029778	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Cryptobacterium;"	Cryptobacterium curtum DSM 15641	26451
CP001683	2745119	2748248	"Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Saccharomonospora;"	Saccharomonospora viridis DSM 43017	26404
CP001684	973024	975970	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Slackia;"	Slackia heliotrinireducens DSM 20476	26456
CP001685	1955691	1958270	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Leptotrichia;"	Leptotrichia buccalis C-1013-b	27701
CP001686	1265696	1268781	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Dermacoccaceae;Kytococcus;"	Kytococcus sedentarius DSM 20547	26266
CP001687	1667809	1670714	"Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halorhabdus;"	Halorhabdus utahensis DSM 12940	26022
CP001689	12745	15650	"Archaea;Halobacterota;Halobacteria;Halobacterales;Halomicrobiaceae;Halomicrobium;"	Halomicrobium mukohataei DSM 12286	26021
CP001690	1374773	1377682	"Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Halogeometricum;"	Halogeometricum borinquense DSM 11551	25993
CP001696	1010220	1013222	"Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;"	Methanocaldococcus fervens AG86	101
CP001698	826282	829286	"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Spirochaeta;"	Spirochaeta thermophila DSM 6192	28320
CP001699	1729370	1732248	"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Chitinophaga;"	Chitinophaga pinensis DSM 2588	26570
CP001700	10097807	10100938	"Bacteria;Actinobacteriota;Actinobacteria;Catenulisporales;Catenulisporaceae;Catenulispora;"	Catenulispora acidiphila DSM 44928	26193
CP001701	3782745	3785617	"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;Cyanothece PCC-8801;"	Cyanothece sp. PCC 8802	26930
CP001706	2578981	2582084	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Jonesiaceae;Jonesia;"	Jonesia denitrificans DSM 20603	26286
CP001707	1161967	1164858	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Kangiellaceae;Kangiella;"	Kangiella koreensis DSM 16069	28243
CP001708	1427543	1430586	"Bacteria;Firmicutes;Clostridia;Tissierellales;Family XI;Anaerococcus;"	Anaerococcus prevotii DSM 20548	27549
CP001710	435690	438369	"Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanothermobacteriaceae;Methanothermobacter;"	Methanothermobacter marburgensis str. Marburg	25963
CP001712	2803645	2806103	"Bacteria;Bacteroidota;Bacteroidia;Flavobacteriales;Flavobacteriaceae;Robiginitalea;"	Robiginitalea biformata HTCC2501	26709
CP001713	1078148	1081090	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;"	Chlamydia pneumoniae LPCoLN	28379
CP001715	4566307	4569193	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Rhodocyclaceae;Candidatus Accumulibacter;"	Candidatus Accumulibacter phosphatis clade IIA str. UW-1	28026
CP001719	2038347	2041322	"Archaea;Euryarchaeota;Methanobacteria;Methanobacteriales;Methanobacteriaceae;Methanobrevibacter;"	Methanobrevibacter ruminantium M1	93
CP001720	3990876	3993810	"Bacteria;Firmicutes;Desulfotomaculia;Desulfotomaculales;Desulfotomaculaceae;Desulfotomaculum;"	Desulfofarcimen acetoxidans DSM 771	27585
CP001721	1453848	1456782	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Atopobiaceae;Atopobium;"	Atopobium parvulum DSM 20469	26440
CP001722	1884438	1887231	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Zymomonas;"	Zymomonas mobilis subsp. mobilis NCIMB 11163	1270
CP001726	3268961	3271929	"Bacteria;Actinobacteriota;Coriobacteriia;Coriobacteriales;Eggerthellaceae;Eggerthella;"	Eggerthella lenta DSM 2243	26453
CP001731	1156467	1159513	"Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;"	Sulfolobus islandicus L.D.8.5	38
CP001733	1464028	1467066	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pasteurellaceae;Aggregatibacter;"	Aggregatibacter actinomycetemcomitans D11S-1	28140
CP001734	2477634	2480572	"Bacteria;Desulfobacterota;Desulfovibrionia;Desulfovibrionales;Desulfohalobiaceae;Desulfohalobium;"	Desulfohalobium retbaense DSM 5692	27155
CP001736	5850811	5853932	"Bacteria;Actinobacteriota;Actinobacteria;Propionibacteriales;Nocardioidaceae;Kribbella;"	Kribbella flavida DSM 17836	26369
CP001737	4551544	4554631	"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Nakamurellaceae;Nakamurella;"	Nakamurella multipartita DSM 44233	26229
CP001738	3073213	3076337	"Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Thermomonosporaceae;Thermomonospora;"	Thermomonospora curvata DSM 43183	26435
CP001739	4402052	4404976	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Sebaldella;"	Sebaldella termitidis ATCC 33386	27703
CP001742	173010	176076	"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Acidilobaceae;Acidilobus;"	Acidilobus saccharovorans 345-15	15287
CP001744	3041801	3044603	"Bacteria;Planctomycetota;Planctomycetes;Planctomycetales;Schlesneriaceae;Planctopirus;"	Planctopirus limnophila DSM 3776	27838
CP001746	4603525	4606445	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;"	Bacillus cereus biovar anthracis str. CI	815
CP001750	2602202	2605277	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;"	Bifidobacterium dentium Bd1	26185
CP001751	2140825	2143551	"Bacteria;Proteobacteria;Alphaproteobacteria;Puniceispirillales;SAR116 clade;Candidatus Puniceispirillum;"	Candidatus Puniceispirillum marinum IMCC1322	16427
CP001752	281606	284506	"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;"	Treponema pallidum subsp. pallidum str. Chicago	28321
CP001758	1259517	1262434	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Lactobacillaceae;Leuconostoc;"	Leuconostoc kimchii IMSNU 11154	27337
CP001759	1166609	1169375	"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Anaplasmataceae;Anaplasma;"	Anaplasma centrale str. Israel	1239
CP001769	7143652	7146483	"Bacteria;Bacteroidota;Bacteroidia;Cytophagales;Spirosomaceae;Spirosoma;"	Spirosoma linguale DSM 74	26649
CP001778	5812569	5815711	"Bacteria;Actinobacteriota;Actinobacteria;Micromonosporales;Micromonosporaceae;Stackebrandtia;"	Stackebrandtia nassauensis DSM 44728	26360
CP001779	1583341	1586244	"Bacteria;Fusobacteriota;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;Streptobacillus;"	Streptobacillus moniliformis DSM 12112	27705
CP001781	2247143	2249976	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;"	Staphylococcus aureus subsp. aureus ED98	27377
CP001785	1679179	1682205	"Bacteria;Firmicutes;Desulfotomaculia;Ammonifexales;Ammonificaceae;Ammonifex;"	Ammonifex degensii KC4	27577
CP001787	1570115	1573118	"Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;"	Methanocaldococcus vulcanius M7	101
CP001790	4959549	4962454	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Pectobacterium;"	Pectobacterium parmentieri WPP163	28157
CP001791	2937183	2940116	"Bacteria;Firmicutes;Bacilli;Bacillales;Salisediminibacteriaceae;Salipaludibacillus;"	[Bacillus] selenitireducens MLS10	27269
CP001793	6480085	6483009	"Bacteria;Firmicutes;Bacilli;Paenibacillales;Paenibacillaceae;Paenibacillus;"	Paenibacillus sp. Y412MC10	27362
CP001794	3051021	3053947	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Geobacillus;"	Geobacillus sp. Y412MC61	816
CP001796	3299857	3302744	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pseudoalteromonadaceae;Pseudoalteromonas;"	Pseudoalteromonas sp. SM9913	28161
CP001798	1970410	1973312	"Bacteria;Proteobacteria;Gammaproteobacteria;Nitrosococcales;Nitrosococcaceae;Nitrosococcus;"	Nitrosococcus halophilus Nc 4	16947
CP001800	1779386	1782423	"Archaea;Crenarchaeota;Thermoprotei;Sulfolobales;Sulfolobaceae;Sulfolobus;"	Saccharolobus solfataricus 98/2	38
CP001801	2291402	2294276	"Bacteria;Proteobacteria;Gammaproteobacteria;Halothiobacillales;Halothiobacillaceae;Halothiobacillus;"	Halothiobacillus neapolitanus c2	16916
CP001802	3018155	3021285	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Nocardiaceae;Gordonia;"	Gordonia bronchialis DSM 43247	26205
CP001804	2900723	2903729	"Bacteria;Myxococcota;Polyangia;Haliangiales;Haliangiaceae;Haliangium;"	Haliangium ochraceum DSM 14365	27741
CP001806	984796	987685	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Vibrionaceae;Vibrio;"	Vibrio antiquarius	28183
CP001807	189201	192161	"Bacteria;Bacteroidota;Rhodothermia;Rhodothermales;Rhodothermaceae;Rhodothermus;"	Rhodothermus marinus DSM 4252	26797
CP001809	2225924	2229005	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;"	Corynebacterium pseudotuberculosis 1002	26196
CP001811	75299	78209	"Bacteria;Firmicutes;Clostridia;Lachnospirales;Lachnospiraceae;Butyrivibrio;"	Butyrivibrio proteoclasticus B316	27427
CP001814	9886331	9889455	"Bacteria;Actinobacteriota;Actinobacteria;Streptosporangiales;Streptosporangiaceae;Streptosporangium;"	Streptosporangium roseum DSM 43021	26431
CP001816	2276723	2279633	"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Sulfurospirillaceae;Sulfurospirillum;"	Sulfurospirillum deleyianum DSM 6946	26856
CP001817	378181	381105	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Morganellaceae;Buchnera;"	Buchnera aphidicola (Cinara tujafilina)	28110
CP001818	1725246	1728217	"Bacteria;Synergistota;Synergistia;Synergistales;Synergistaceae;Thermanaerovibrio;"	Thermanaerovibrio acidaminovorans DSM 6589	28342
CP001819	4143981	4147093	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Sanguibacteraceae;Sanguibacter;"	Sanguibacter keddieii DSM 10542	26346
CP001821	2600564	2603684	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Promicromonosporaceae;Xylanimonas;"	Xylanimonas cellulosilytica DSM 15894	26340
CP001824	551116	554089	"Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;Thermomicrobiaceae;Sphaerobacter;"	Sphaerobacter thermophilus DSM 20745	15844
CP001825	1137014	1139947	"Bacteria;Chloroflexi;Chloroflexia;Thermobaculales;Thermobaculaceae;Thermobaculum;"	Thermobaculum terrenum ATCC BAA-798	15840
CP001827	47031	49975	"Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalococcoides;"	Dehalococcoides mccartyi VS	672
CP001828	3211429	3214289	"Bacteria;Proteobacteria;Gammaproteobacteria;Legionellales;Legionellaceae;Legionella;"	Legionella pneumophila 2300/99 Alcoy	1591
CP001829	2218996	2222077	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium;"	Corynebacterium pseudotuberculosis C231	26196
CP001830	3590826	3593682	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Ensifer;"	Sinorhizobium meliloti SM11	1149
CP001834	2593123	2596022	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Lactococcus;"	Lactococcus lactis subsp. lactis KF147	886
CP001836	4729551	4732454	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Pectobacteriaceae;Dickeya;"	Dickeya zeae Ech586	28155
CP001837	2500929	2503848	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;"	Staphylococcus lugdunensis HKU09-01	27377
CP001839	841405	845123	"Bacteria;Thermotogota;Thermotogae;Thermotogales;Thermotogaceae;Thermotoga;"	Thermotoga naphthophila RKU-10	28374
CP001840	2152338	2155383	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;"	Bifidobacterium bifidum PRL2010	26185
CP001841	1630748	1633649	"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;"	Treponema azotonutricium ZAS-9	28321
CP001842	640506	643381	"Bacteria;Cyanobacteria;Cyanobacteriia;Cyanobacteriales;Microcystaceae;Atelocyanobacterium (UCYN-A);"	Candidatus Atelocyanobacterium thalassa isolate ALOHA	26926
CP001843	2694623	2697532	"Bacteria;Spirochaetota;Spirochaetia;Spirochaetales;Spirochaetaceae;Treponema;"	Treponema primitia ZAS-2	28321
CP001844	2244249	2247082	"Bacteria;Firmicutes;Bacilli;Staphylococcales;Staphylococcaceae;Staphylococcus;"	Staphylococcus phage phiN315	27377
CP001845	1881119	1884018	"Bacteria;Firmicutes;Bacilli;Lactobacillales;Streptococcaceae;Streptococcus;"	Streptococcus pneumoniae gamPNI0373	887
CP001846	4906479	4909381	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;"	Escherichia coli O55:H7 str. CB9615	28078
CP001848	3346600	3349488	"Bacteria;Planctomycetota;Planctomycetes;Pirellulales;Pirellulaceae;Pirellula;"	Pirellula staleyi DSM 6068	27823
CP001849	1586133	1589178	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Gardnerella;"	Gardnerella vaginalis 409-05	26186
CP001850	467288	470184	"Bacteria;Firmicutes;Clostridia;Oscillospirales;Hungateiclostridiaceae;Mageeibacillus;"	Mageeibacillus indolicus UPII9-5	27479
CP001852	1082959	1085869	"Bacteria;Proteobacteria;Alphaproteobacteria;Rhizobiales;Rhizobiaceae;Brucella;"	Brucella melitensis M5-90	16466
CP001853	568367	571423	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;"	Bifidobacterium animalis subsp. lactis BB-12	26185
CP001854	3761310	3764306	"Bacteria;Actinobacteriota;Thermoleophilia;Solirubrobacterales;Solirubrobacteraceae;Conexibacter;"	Conexibacter woesei DSM 14684	26468
CP001855	4261093	4263998	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;"	Escherichia coli O83:H1 str. NRG 857C	28078
CP001857	1046732	1049698	"Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Archaeoglobus;"	Archaeoglobus profundus DSM 5631	25972
CP001859	2072624	2075526	"Bacteria;Firmicutes;Negativicutes;Acidaminococcales;Acidaminococcaceae;Acidaminococcus;"	Acidaminococcus fermentans DSM 20731	27619
CP001860	3690567	3693477	"Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloterrigena;"	Haloterrigena turkmenica DSM 5511	26005
CP001867	4142642	4145780	"Bacteria;Actinobacteriota;Actinobacteria;Frankiales;Geodermatophilaceae;Geodermatophilus;"	Geodermatophilus obscurus DSM 43160	26226
CP001872	336286	339194	"Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;"	Mycoplasma gallisepticum str. R(high)	27357
CP001873	746268	749176	"Bacteria;Firmicutes;Bacilli;Mycoplasmatales;Mycoplasmataceae;Mycoplasma;"	Mycoplasma gallisepticum str. F	27357
CP001874	3883342	3886380	"Bacteria;Actinobacteriota;Actinobacteria;Pseudonocardiales;Pseudonocardiaceae;Thermobispora;"	Thermobispora bispora DSM 43833	26409
CP001875	4381020	4383942	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;[Pantoea] ananatis group;"	Pantoea ananatis LMG 20103	28093
CP001876	702395	705306	"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;"	Campylobacter jejuni subsp. jejuni IA3902	26845
CP001878	618120	621060	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;"	Bacillus pseudofirmus OF4	815
CP001886	878467	881407	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;"	Chlamydia trachomatis E/150	28379
CP001887	878261	881201	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;"	Chlamydia trachomatis G/9768	28379
CP001888	877808	880748	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;"	Chlamydia trachomatis G/11222	28379
CP001889	878326	881266	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;"	Chlamydia trachomatis G/11074	28379
CP001890	878482	881422	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;"	Chlamydia trachomatis E/11023	28379
CP001891	5406315	5409221	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella;"	Klebsiella variicola At-22	28080
CP001892	1876654	1879780	"Bacteria;Actinobacteriota;Actinobacteria;Bifidobacteriales;Bifidobacteriaceae;Bifidobacterium;"	Bifidobacterium animalis subsp. lactis V9	26185
CP001896	2902753	2905644	"Bacteria;Proteobacteria;Gammaproteobacteria;Chromatiales;Chromatiaceae;Allochromatium;"	Allochromatium vinosum DSM 180	1522
CP001899	1405747	1408714	"Archaea;Halobacterota;Archaeoglobi;Archaeoglobales;Archaeoglobaceae;Ferroglobus;"	Ferroglobus placidus DSM 10642	25973
CP001900	698773	702081	"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;"	Campylobacter jejuni subsp. jejuni M1	26845
CP001901	1431729	1434729	"Archaea;Euryarchaeota;Methanococci;Methanococcales;Methanocaldococcaceae;Methanocaldococcus;"	Methanocaldococcus sp. FS406-22	101
CP001903	4719656	4722575	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;"	Bacillus thuringiensis BMB171	815
CP001905	425196	428073	"Bacteria;Proteobacteria;Gammaproteobacteria;Ectothiorhodospirales;Ectothiorhodospiraceae;Thioalkalivibrio;"	Thioalkalivibrio sp. K90mix	16881
CP001907	4855939	4858858	"Bacteria;Firmicutes;Bacilli;Bacillales;Bacillaceae;Bacillus;"	Bacillus thuringiensis serovar chinensis CT-43	815
CP001918	5266417	5269322	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Enterobacter;"	Enterobacter cloacae subsp. cloacae ATCC 13047	28076
CP001921	3934993	3937883	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;"	Acinetobacter baumannii 1656-2	1650
CP001924	47328	50276	"Bacteria;Chloroflexi;Dehalococcoidia;Dehalococcoidales;Dehalococcoidaceae;Dehalococcoides;"	Dehalococcoides mccartyi GT	672
CP001925	4945588	4948492	"Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Escherichia-Shigella;"	Escherichia coli Xuzhou21	28078
CP001928	1836312	1839251	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Waddliaceae;Waddlia;"	Waddlia chondrophila WSU 86-1044	28392
CP001930	878262	881202	"Bacteria;Verrucomicrobiota;Chlamydiae;Chlamydiales;Chlamydiaceae;Chlamydia;"	Chlamydia trachomatis G/9301	28379
CP001931	851742	855354	"Bacteria;Aquificota;Aquificae;Aquificales;Aquificaceae;Thermocrinis;"	Thermocrinis albus DSM 14484	26484
CP001933	369725	372643	"Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Natrialba;"	Natrialba magadii ATCC 43099	26009
CP001936	1987409	1990461	"Bacteria;Firmicutes;Thermoanaerobacteria;Thermoanaerobacterales;Thermoanaerobacteraceae;Thermoanaerobacter;"	Thermoanaerobacter italicus Ab9	27681
CP001937	1956064	1958980	"Bacteria;Proteobacteria;Gammaproteobacteria;Pseudomonadales;Moraxellaceae;Acinetobacter;"	Acinetobacter baumannii MDR-ZJ06	1650
CP001939	54530	57594	"Archaea;Crenarchaeota;Thermoprotei;Desulfurococcales;Desulfurococcaceae;Thermosphaera;"	Thermosphaera aggregans DSM 11486	27
CP001940	1067053	1070008	"Bacteria;Desulfobacterota;Desulfobulbia;Desulfobulbales;Desulfurivibrionaceae;Desulfurivibrio;"	Desulfurivibrio alkaliphilus AHT 2	27143
CP001941	14365	17290	"Archaea;Thermoplasmatota;Thermoplasmata;Thermoplasmatales;Aciduliprofundaceae;Aciduliprofundum;"	Aciduliprofundum boonei T469	26097
CP001956	2766866	2769780	"Archaea;Halobacterota;Halobacteria;Halobacterales;Haloferacaceae;Haloferax;"	Haloferax volcanii DS2	25992
CP001958	689180	692252	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Segniliparaceae;Segniliparus;"	Segniliparus rotundus DSM 44985	26213
CP001960	731933	734986	"Bacteria;Campylobacterota;Campylobacteria;Campylobacterales;Campylobacteraceae;Campylobacter;"	Campylobacter jejuni subsp. jejuni S3	26845
CP001962	407990	410865	"Bacteria;Deinococcota;Deinococci;Thermales;Thermaceae;Thermus;"	Thermus scotoductus SA-01	27095
CP001964	1841231	1844338	"Bacteria;Actinobacteriota;Actinobacteria;Micrococcales;Cellulomonadaceae;Cellulomonas;"	Cellulomonas flavigena DSM 20109	26251
CP001965	1923367	1926250	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;Gallionellaceae;Sideroxydans;"	Sideroxydans lithotrophicus ES-1	27976
CP001966	2479948	2483034	"Bacteria;Actinobacteriota;Actinobacteria;Corynebacteriales;Tsukamurellaceae;Tsukamurella;"	Tsukamurella paurometabola DSM 20162	26215
CP001968	2667898	2670817	"Bacteria;Deferribacterota;Deferribacteres;Deferribacterales;Deferribacteraceae;Denitrovibrio;"	Denitrovibrio acetiphilus DSM 12809	27074
