Organism name 	Length	Unpaired Bases	Paired Bases	Pseudoknotted	Pseudoknot order	RNA type	benchmark id	Genus	Core	Coreplus	Shape	Molecola se validata	Database	bpRNA ID
Nicotiana tabacum (common tobacco)	488	370	118	Y	1	Group I Introns	RFAM_GII_E_133	1	()()(()()[)()]()	(())()(((())((()))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4616
Vicia faba (fava bean)	436	318	118	Y	1	Group I Introns	RFAM_GII_E_134	1	()()(()()[)()]()	(())()(((())((()))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4617
Pneumocystis carinii	387	265	122	Y	1	Group I Introns	RFAM_GII_E_135	1	()()(()()[)()]()	()()(((())((()))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4618
Zea mays	443	325	118	Y	1	Group I Introns	RFAM_GII_E_136	1	()()(()()[)()]()	(())()(((())((()))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4619
Tetrahymena thermophila	342	220	122	Y	1	Group I Introns	RFAM_GII_E_137	1	()()(()()[)()]()	()()((((()))((()))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4620
Tetrahymena hyperangularis	344	222	122	Y	1	Group I Introns	RFAM_GII_E_138	1	()()(()()[)()]()	()()((((()))((()))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4621
Chlamydomonas moewusii	358	246	112	Y	1	Group I Introns	RFAM_GII_E_139	1	()()(()()[)()]()	(())(())(((())((((()))))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4622
Chlamydomonas moewusii	419	299	120	Y	1	Group I Introns	RFAM_GII_E_140	1	()()(()()[)()]()	()(())((((()))((()))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4623
Chlamydomonas moewusii	377	267	110	Y	1	Group I Introns	RFAM_GII_E_141	1	()()(()()[)()]()	(())(())((((()))(((())))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4624
Chlamydomonas moewusii	279	167	112	Y	1	Group I Introns	RFAM_GII_E_142	1	()()(()()[)()]()	(())(())(((())(((())))[[))()]]()	([)]	No	RFAM	bpRNA_RFAM_4625
